NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
苦工	0	2190	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianjudong\npc\area1.txt	1		
北马帮众	0	2191	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianjudong\npc\area2.txt	1		
苦工	0	2190	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianjudong\npc\area3.txt	1		
盐帮帮众	0	2189	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianjudong\npc\area4.txt	1		
to_daoxiangcun	1															\setting\map\map_info\jianjudong\trap\to_daoxiangcun.txt			
to_shugangshan	1															\setting\map\map_info\jianjudong\trap\to_shugangshan.txt			
稻香村入口	0	2525	4	5	85	1	20	20	20	20	20	1		43872	104800				
蜀冈山入口	0	2525	4	5	85	1	20	20	20	20	20	1		53984	102816				
to_mangshedong	1															\setting\map\map_info\jianjudong\trap\to_mangshedong.txt			
蟒蛇洞	0	2525	4	5	85	1	20	20	20	20	20	1		47872	106112				
大柱	0	1064	0	5	85	1	20	20	20	20	20	1		42240	100640				
辜无常	0	3091	0	5	85	1	20	20	20	20	20	16		42336	97760				5
古清扬	0	3092	0	5	85	1	20	20	20	20	20	16		50752	104832				4
关子漠	0	3093	0	5	85	1	20	20	20	20	20	16		52544	94208				3
何连素	0	3094	0	5	85	1	20	20	20	20	20	16		44160	96000				2
to_liangshanpo	1															\setting\map\map_info\jianjudong\trap\to_liangshanpo.txt			
梁山泊入口	0	2525	4	5	85	1	20	20	20	20	20	1		54400	92320				
to_shugangmijing	1															\setting\map\map_info\jianjudong\trap\to_shugangmijing.txt			
蜀冈秘境入口	0	2525	4	6	85	1	20	20	20	20	20	1		42016	97504				
