NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
剑门守军	0	2186	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianmenguan\npc\area1.txt	1		
黑水云骑兵	0	2188	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianmenguan\npc\area2.txt			
护关铁骑兵	0	2187	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianmenguan\npc\area3.txt			
剑门守军	0	2186	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianmenguan\npc\area4.txt			
to_dasanguan	1															\setting\map\map_info\jianmenguan\trap\to_dasanguan.txt	1		
to_jiangeshudao	1															\setting\map\map_info\jianmenguan\trap\to_jiangeshudao.txt			
to_xiangyangfu	1															\setting\map\map_info\jianmenguan\trap\to_xiangyangfu.txt			
大散关入口	0	2525	4	5	85	1	20	20	20	20	20	1		51104	103936				
剑阁蜀道入口	0	2525	4	5	85	1	20	20	20	20	20	1		51328	113312				
襄阳府入口	0	2525	4	5	85	1	20	20	20	20	20	1		62912	113568				
to_xiaoshigu	1															\setting\map\map_info\jianmenguan\trap\to_xiaoshigu.txt	1		
硝石谷	0	2525	4	5	85	1	20	20	20	20	20	1		62208	102304				
燃烧的火塘	0	1060	3	5	85	1	20	20	20	20	20	1		55168	120736				
聂文成	0	1007	3	5	85	1	20	20	20	20	20	1		54752	121856				
许老伯	0	1012	3	5	85	1	20	20	20	20	20	1		55008	120576				
小马哥	0	1014	3	5	85	1	20	20	20	20	20	1		57280	106528				
护关义军	0	1063	0	0	85	1	20	20	20	20	20	1				\setting\map\map_info\jianmenguan\npc\huguanyijun.txt			
铁骝军副帅	0	1059	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	58464	102624				
亲卫兵	0	1061	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianmenguan\npc\qinweibing.txt			
铁骝军先锋	0	1062	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\jianmenguan\npc\tieliujunxianfeng.txt			
骑兵统领	0	1091	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	58688	123392				
骑兵统领	0	1091	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	58400	124480				
骑兵统领	0	1091	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	58752	125312				
骑兵统领	0	1091	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	59040	124416				
骑兵统领	0	1091	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	59136	125280				
骑兵统领	0	1091	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	59584	124160				
骑兵统领	0	1091	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	59904	124960				
周尘飞	0	3095	0	5	85	1	20	20	20	20	20	16		54688	102688				4
周楚伯	0	3096	0	5	85	1	20	20	20	20	20	16		62784	103200				3
诸葛惊鸿	0	3097	0	5	85	1	20	20	20	20	20	16		62016	118336				2
风无痕	0	3098	0	5	85	1	20	20	20	20	20	16		51904	116384				1
to_afanggongfeixu	1															\setting\map\map_info\jianmenguan\trap\to_afanggongfeixu.txt			
阿房宫废墟入口	0	2525	4	5	85	1	20	20	20	20	20	1		58240	102176				
