NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
洛伐山	0	452	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	46144	105248		1		1
蒋一帆	0	453	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	48672	106528		1		1
尹涛	0	454	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	46880	104480		1		3
仆散勋	0	456	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	43520	107808		1		
章白羽	0	457	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	44320	107040		1		
玄字牢狱卒	0	240	3	5	60	1	20	20	20	20	20	1		49824	110816		1		
玄字牢囚犯	0	242	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\xuanzilaofanren.txt	1		3
耶律仇	0	245	3	5	60	1	20	20	20	20	20	1		50912	112096		1		
狱医	0	248	3	5	60	1	20	20	20	20	20	1		50368	108032		1		
天字牢狱卒	0	249	3	5	60	1	20	20	20	20	20	1		45376	108032		1		
天字牢囚犯	0	250	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\tianzilaofanren.txt	1		0
地字牢狱卒	0	251	3	5	60	1	20	20	20	20	20	1		46432	106816		1		
乌日更达赖	0	257	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	48160	107328		1		2
哈丹巴特尔	0	258	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	47168	108288		1		3
额尔德木图	0	259	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	46720	107840		1		1
哈斯乌拉	0	260	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	47712	106848		1		2
旭日干	0	261	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	47488	107552		1		
边俊	0	262	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	48192	103200		1		0
灵羽	0	263	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	47584	103872		1		
星海	0	264	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	49376	105856		1		
乐宜	0	265	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	50048	105152		1		
铁浮图高手	0	266	3	5	60	1	20	20	20	20	20	1		49216	104032		1		
铁浮图护卫	0	267	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\tiefutuhuwei.txt	1		
天目道长	0	270	3	5	60	1	20	20	20	20	20	1		42368	107872		1		
贪官家丁	0	455	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\tanguanjiading.txt	1		
地字牢囚犯	0	1432	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\dizilaofanren.txt	1		
金国将佐	0	1433	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\jinguojiangzuo.txt	1		
陈年烈酒	0	1526	3	5	60	1	20	20	20	20	20	1		52736	106176		1		
东坡诗集注	0	1527	3	5	60	1	20	20	20	20	20	1		46496	109696		1		
天忍弟子	0	1430	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\jinguohuangling_2\npc\tianrendizi.txt	1		
金国校尉漆明	0	1439	3	5	60	1	20	20	20	20	20	1		50752	111872		1		
进入天刑殿	0	2525	4	5	1	1	20	20	20	20	20	1		51744	106112		1		
进入兀萨居所	0	2525	4	5	1	1	20	20	20	20	20	1		50688	107328		1		
进入中成殿	0	2525	4	5	1	1	20	20	20	20	20	1		50432	106048		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		50816	105952				2
to_gongshentai	1															\setting\map\map_info\jinguohuangling_2\trap\to_gongshentai.txt			
to_ninglizhou	1															\setting\map\map_info\jinguohuangling_2\trap\to_ninglizhou.txt			
to_tianxingdian	1															\setting\map\map_info\jinguohuangling_2\trap\to_tianxingdian.txt			
to_weichangfeng	1															\setting\map\map_info\jinguohuangling_2\trap\to_weichangfeng.txt			
to_wusajusuo	1															\setting\map\map_info\jinguohuangling_2\trap\to_wusajusuo.txt			
to_yelvchou	1															\setting\map\map_info\jinguohuangling_2\trap\to_yelvchou.txt			
to_zhongchengdian	1															\setting\map\map_info\jinguohuangling_2\trap\to_zhongchengdian.txt			
建陵工匠	0	2093	0	5	45	1	20	20	20	20	20	1	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\area1.txt	1		4
金国校尉	0	2252	0	5	45	1	20	20	20	20	20	1	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\area2.txt	1		
贪官家丁	0	2092	0	5	45	1	20	20	20	20	20	1	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\area3.txt	1		1
幽冥狼	0	2091	0	5	45	1	20	20	20	20	20	1	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\jinguohuangling_2\npc\area4.txt	1		0
to_jinguohuangling_1	1															\setting\map\map_info\jinguohuangling_2\trap\to_jinguohuangling_1.txt			
to_jinguohuangling_3	1															\setting\map\map_info\jinguohuangling_2\trap\to_jinguohuangling_3.txt			
金国皇陵一层入口	0	2525	4	5	1	1	20	20	20	20	20	1		45888	111808		1		
to_fight	1															\setting\map\map_info\jinguohuangling_2\trap\to_fight.txt			
to_peace	1															\setting\map\map_info\jinguohuangling_2\trap\to_peace.txt			
药商	0	9636	3	5	60	1	20	20	20	20	20	1		50656	105728				2
