NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
门房大伯	0	274	3	5	60	1	20	20	20	20	20	1		51168	101952		1		
伙房大娘	0	275	3	5	60	1	20	20	20	20	20	1		49376	101216		1		
陪读女尼	0	276	3	5	60	1	20	20	20	20	20	1		50208	100896		1		3
如意	0	277	3	5	60	1	20	20	20	20	20	1		53632	101376		1		0
强贼头目	0	278	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\zihuailinqiangzei.txt	1		1
侍卫统领	0	279	3	5	60	1	20	20	20	20	20	1		51840	110208		1		
仇雪	0	284	3	5	90	1	20	20	20	20	20	1		54656	104416		1		
行商护卫	0	285	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\jinguoxingshang.txt	1		
东方巡卫	0	293	3	5	60	1	20	20	20	20	20	1		52896	110176		1		
南方巡卫	0	294	3	5	60	1	20	20	20	20	20	1		51616	111616		1		
西方巡卫	0	295	3	5	60	1	20	20	20	20	20	1		50432	110208		1		
北方巡卫	0	296	3	5	60	1	20	20	20	20	20	1		51712	109056		1		
李元楷 	0	464	3	5	60	1	20	20	20	20	20	1		52128	110208		1		
傅聪	0	466	3	5	60	1	20	20	20	20	20	1		52256	110336		1		
钱重光	0	469	3	5	60	1	20	20	20	20	20	1		44256	103008		1		0
仇雪	0	677	3	5	60	1	20	20	20	20	20	1		43584	104992		1		
吴家军刀斧手	0	678	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\daofushou.txt	1		
吴家军步枪手	0	679	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\buqiangshou.txt	1		
叶龙涎	0	471	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	48096	101696		1		
朱光照	0	472	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	47712	100768		1		2
钱氏匪兵	0	1403	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\qianshifeibingz.txt	1		3
吴曦亲兵	0	1400	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\jiulaofeng\npc\wuxiqinbing.txt	1		
钱氏匪兵	0	1401	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\jiulaofeng\npc\qianshifeibing.txt	1		
护花弟子	0	1405	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\huhuadizi.txt	1		
吴曦	0	672	3	5	60	1	20	20	20	20	20	1		43360	105024		1		
执事师太	0	681	3	5	60	1	20	20	20	20	20	1		43520	105088		1		
尹含烟	0	682	3	5	60	1	20	20	20	20	20	1		43584	104864		1		
唐一尘	0	683	3	5	60	1	20	20	20	20	20	1		43488	104864		1		
唐晓	0	684	3	5	150	1	20	20	20	20	20	1		43488	104736		1		
尹筱雨	0	685	3	5	150	1	20	20	20	20	20	1		43584	104736		1		0
神秘的箱子	0	1538	3	5	1	1	20	20	20	20	20	1		50784	117120		1		
去行在内营	0	2525	4	5	1	1	20	20	20	20	20	1		51712	110240		1		
去慈云庵	0	2525	4	5	1	1	20	20	20	20	20	1		51808	99968		1		
去仇雪卧室	0	2525	4	5	1	1	20	20	20	20	20	1		58560	102624		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		51552	110688				2
to_biyueshantang	1															\setting\map\map_info\jiulaofeng\trap\to_biyueshantang.txt			
to_xingzaineiying	1															\setting\map\map_info\jiulaofeng\trap\to_xingzaineiying.txt			
to_ciyunan	1															\setting\map\map_info\jiulaofeng\trap\to_ciyunan.txt			
to_chouxuewoshi	1															\setting\map\map_info\jiulaofeng\trap\to_chouxuewoshi.txt			
to_jianxueting	1															\setting\map\map_info\jiulaofeng\trap\to_jianxueting.txt			
to_jiulaodong_1	1															\setting\map\map_info\jiulaofeng\trap\to_jiulaodong_1.txt			
紫槐林强贼	0	2213	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\area1.txt	1		4
苦修尼	0	2042	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\area2.txt	1		
恶猿	0	2041	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\area3.txt	1		
金国行商	0	2214	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\area4.txt	1		
to_emeipai	1															\setting\map\map_info\jiulaofeng\trap\to_emeipai.txt			
峨嵋派入口	0	2525	4	5	1	1	20	20	20	20	20	1		57248	100096		1		
九老洞一层入口	0	2525	4	5	1	1	20	20	20	20	20	1		50240	114848		1		
to_fight	1															\setting\map\map_info\jiulaofeng\trap\to_fight.txt			
to_peace	1															\setting\map\map_info\jiulaofeng\trap\to_peace.txt			
药商	0	9636	3	5	60	1	20	20	20	20	20	1		51328	110592				2
