NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
凌若虚	0	273	3	5	60	1	20	20	20	20	20	1		50720	122880		1		
如意	0	277	3	5	60	1	20	20	20	20	20	1		53152	122688		1		1
着甲刺客	0	297	0	5	25	1	20	20	20	20	20	1				\setting\map\map_info\jiulaofeng_shinei\npc\zhaojiacike.txt	1		
无想师太	0	298	3	5	150	1	20	20	20	20	20	1		55520	123264		1		
凌若虚	0	299	3	5	60	1	20	20	20	20	20	1		55328	123104		1		
吴曦	0	671	3	5	60	1	20	20	20	20	20	1		55488	123072		1		
吴曦	0	674	0	5	25	1	20	20	20	20	20	1		57824	123488		1		
吴曦	0	672	3	5	60	1	20	20	20	20	20	1		60320	122944		1	1885	3842
仇雪	0	470	3	5	90	1	20	20	20	20	20	1		60544	122976		1		
仇雪	0	677	3	5	90	1	20	20	20	20	20	1		54144	118848		1		
无心师太	0	463	3	5	60	1	20	20	20	20	20	1		55584	123360		1		
无念师太	0	467	3	5	90	1	20	20	20	20	20	1		55680	123424		1		
吴曦亲兵	0	1402	0	0	25	1	20	20	20	20	20	1				\setting\map\map_info\jiulaofeng_shinei\npc\wuxiqinbingz.txt	1		
去行在门口	0	2525	4	5	1	1	20	20	20	20	20	1		50240	119456		1		
去九老峰	0	2525	4	5	1	1	20	20	20	20	20	1		53344	119584		1		
去九老峰	0	2525	4	5	1	1	20	20	20	20	20	1		50400	123360		1		
去九老峰	0	2525	4	5	1	1	20	20	20	20	20	1		52832	123136		1		
去吴大人行在	0	2525	4	5	1	1	20	20	20	20	20	1		55168	123648		1		
去九老峰	0	2525	4	5	1	1	20	20	20	20	20	1		57504	123872		1		
去九老峰	0	2525	4	5	1	1	20	20	20	20	20	1		60160	123456		1		
to_exit17	1															\setting\map\map_info\jiulaofeng_shinei\trap\to_exit17.txt			
to_exit18	1															\setting\map\map_info\jiulaofeng_shinei\trap\to_exit18.txt			
to_exit21	1															\setting\map\map_info\jiulaofeng_shinei\trap\to_exit21.txt			
to_exit22	1															\setting\map\map_info\jiulaofeng_shinei\trap\to_exit22.txt			
to_exit23	1															\setting\map\map_info\jiulaofeng_shinei\trap\to_exit23.txt			
to_exit24	1															\setting\map\map_info\jiulaofeng_shinei\trap\to_exit24.txt			
to_exit25	1															\setting\map\map_info\jiulaofeng_shinei\trap\to_exit25.txt			
