NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
白璐	0	825	3	5	60	1	20	20	20	20	20	3		53184	123680		1		
郭节	0	823	3	5	60	1	20	20	20	20	20	3		47616	120160		1		
岳稷山	0	812	3	5	60	1	20	20	20	20	20	1		50944	131648		1		
小春子	0	954	3	5	60	1	20	20	20	20	20	1		46752	120256		1		
钦天监	0	1087	3	5	60	1	20	20	20	20	20	1		52128	119264		1		
书童	0	1835	3	5	60	1	20	20	20	20	20	1		48928	126720		1		
赵府的门童	0	1912	3	5	60	1	20	20	20	20	20	1		50656	122112		1		
江洪灵	0	1856	3	5	60	1	20	20	20	20	20	1		50624	131360		1		
赵府大厅	0	2525	4	5	1	1	20	20	20	20	20	1		50432	121856		1		
韩府大厅	0	2525	4	5	1	1	20	20	20	20	20	1		45184	126656		1		
偏厢	0	2525	4	5	1	1	20	20	20	20	20	1		45824	126656		1		
知春台侧门	0	2525	4	5	1	1	20	20	20	20	20	1		52576	123616		1		
知春台	0	2525	4	5	1	1	20	20	20	20	20	1		52928	123552		1		
朱熹府邸	0	2525	4	5	1	1	20	20	20	20	20	1		48864	126432		1		
彭龟年府邸	0	2525	4	5	1	1	20	20	20	20	20	1		57344	126144		1		
朱熹密室	0	2525	4	5	1	1	20	20	20	20	20	1		57312	125088		1		
to_mishi	1															\setting\map\map_info\linanfu\trap\to_mishi.txt			
to_zhuxifu	1															\setting\map\map_info\linanfu\trap\to_zhuxifu.txt			
to_pengfu	1															\setting\map\map_info\linanfu\trap\to_pengfu.txt			
to_zhaoruyu	1															\setting\map\map_info\linanfu\trap\to_zhaoruyu.txt			
to_hantuozhou	1															\setting\map\map_info\linanfu\trap\to_hantuozhou.txt			
to_xiaoman	1															\setting\map\map_info\linanfu\trap\to_xiaoman.txt			
to_sufang	1															\setting\map\map_info\linanfu\trap\to_sufang.txt			
to_zhichuntai	1															\setting\map\map_info\linanfu\trap\to_zhichuntai.txt			
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		50848	125344				
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		52224	124512				
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		52640	124960				
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		53376	125216				
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		53600	127072				
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		54816	128224				
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		54208	127680				
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		50496	127296				
木良	0	3569	3	5	60	1	20	20	20	20	20	1		52640	128160				
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		52320	126304				
公平子	0	2501	3	5	60	1	20	20	20	20	20	1		49856	128960				
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		50592	129472				2
礼官	0	2601	3	5	60	1	20	20	20	20	20	1		53696	122528				
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	1		51968	121504				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		56960	122592				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		54592	130720				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		49376	131872				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		51136	126528				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		55872	122112				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		55008	130464				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		48832	131552				
衙役	0	2603	3	5	60	1	20	20	20	20	20	1		54048	120672				
马贩	0	2605	3	5	60	1	20	20	20	20	20	1		57600	123424				
to_longquancun	1															\setting\map\map_info\linanfu\trap\to_longquancun.txt			
to_huqiujianchi	1															\setting\map\map_info\linanfu\trap\to_huqiujianchi.txt			
to_caishiji	1															\setting\map\map_info\linanfu\trap\to_caishiji.txt			
to_jiuyixi	1															\setting\map\map_info\linanfu\trap\to_jiuyixi.txt			
to_yushufang	1															\setting\map\map_info\linanfu\trap\to_yushufang.txt			
龙泉村入口	0	2525	4	5	1	1	20	20	20	20	20	1		56992	133888				
虎丘剑池入口	0	2525	4	5	1	1	20	20	20	20	20	1		57600	119552				
采石矶入口	0	2525	4	5	1	1	20	20	20	20	20	1		45344	131328				
九嶷溪入口	0	2525	4	5	1	1	20	20	20	20	20	1		45696	134144				
严蕊	0	955	3	5	60	1	20	20	20	20	20	3		54144	118048		1		
衙役刘武	0	957	3	5	60	1	20	20	20	20	20	3		54240	118176		1		
水井	0	1045	3	5	60	1	20	20	20	20	20	3		65696	112928		1		
丁武	0	592	3	5	60	1	20	20	20	20	20	3		56896	115168		1		
赵元靖	0	2607	3	5	60	1	20	20	20	20	20	1		49888	124704				
完颜隆旭	0	2608	3	5	60	1	20	20	20	20	20	1		52736	129920				
黄裳	0	2606	3	5	60	1	20	20	20	20	20	1		51168	120704				
云游僧人	0	2625	3	5	60	1	20	20	20	20	20	1		45088	124320				
刘全保	0	553	3	5	60	1	20	20	20	20	20	1		56384	123872				0
白虎堂护卫	0	2654	3	5	60	1	20	20	20	20	20	1		54080	124480				
侍卫	0	1179	3	5	60	1	20	20	20	20	20	1		45440	126848				
侍卫	0	1179	3	5	60	1	20	20	20	20	20	1		45248	127040				
侍卫	0	1179	3	5	60	1	20	20	20	20	20	1		46400	128416				
侍卫	0	1179	3	5	60	1	20	20	20	20	20	1		46592	128192				
侍卫	0	1179	3	5	60	1	20	20	20	20	20	1		51040	122880				
侍卫	0	1179	3	5	60	1	20	20	20	20	20	1		51232	122656				
to_lingyinsi	1															\setting\map\map_info\linanfu\trap\to_lingyinsi.txt			
灵隐寺大殿	0	2525	4	5	1	1	20	20	20	20	20	1		46176	124448				
义军军需官	0	2711	3	5	60	1	20	20	20	20	20	1		52224	126208				
留正	0	1181	3	5	60	1	20	20	20	20	20	1		45056	125216				
福利官	0	2712	3	5	60	1	20	20	20	20	20	3		48352	120896		1		
马穿山	0	2955	3	5	60	1	20	20	20	20	20	1		55936	126272				
乌山青	0	1458	3	5	60	1	20	20	20	20	20	1		53472	129344				
6121	0	6121	5	5	1	1	20	20	20	20	20	3		47520	121344		1		
