NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
裴远	0	3501	3	5	30	1	20	20	20	20	20	1		52896	100096		1		
寂幻	0	3507	3	5	30	1	20	20	20	20	20	1		52960	99936		1		
唐济民	0	3513	3	5	30	1	20	20	20	20	20	1		53088	99904		1		
边一春	0	3519	3	5	30	1	20	20	20	20	20	1		53248	100000		1		
玄静	0	3525	3	5	30	1	20	20	20	20	20	1		53376	100064		1		
苏雅	0	3531	3	5	30	1	20	20	20	20	20	1		53504	100192		1		
罗俊	0	3537	3	5	30	1	20	20	20	20	20	1		53632	100320		1		
谢飞京	0	3543	3	5	30	1	20	20	20	20	20	1		53760	100448		1		
明慧	0	3549	3	5	30	1	20	20	20	20	20	1		53824	100704		1		
归惊晴	0	3555	3	5	30	1	20	20	20	20	20	1		53632	100992		1		
段修静	0	3480	3	5	30	1	20	20	20	20	20	1		53504	100992		1		
童凌	0	3474	3	5	30	1	20	20	20	20	20	1		53376	100992		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		51008	103872		1		
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		50784	103968		1		
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		53152	104448		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		52608	104384		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		51968	106592		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		52224	106464		1		
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		52064	104032		1		
白秋琳	0	3570	3	5	90	1	20	20	20	20	20	1		51616	105056		1		
龙五太爷	0	3571	3	5	150	1	20	20	20	20	20	1		52064	105056		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	3		50688	104576		1		2
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		50784	105856		1		
破旧箱子一	0	3578	3	5	1	1	20	20	20	20	20	3		51904	104096		1		
破旧箱子二	0	3579	3	5	1	1	20	20	20	20	20	3		51808	104128		1		
破旧箱子三	0	3580	3	5	1	1	20	20	20	20	20	3		51680	104192		1		
奇怪的箱子	0	3581	3	5	1	1	20	20	20	20	20	3		52192	104192		1		
to_xiangmiyuan	1															\setting\map\map_info\lingxiucun\trap\to_xiangmiyuan.txt			
to_shunanzhuhai_1	1															\setting\map\map_info\lingxiucun\trap\to_shunanzhuhai_1.txt			
香蜜源入口	0	2525	4	5	1	1	20	20	20	20	20	1		49472	102592		1		
蜀南竹海入口	0	2525	4	5	1	1	20	20	20	20	20	1		54368	101728		1		
丽影	0	9716	3	5	30	1	20	20	20	20	20	1		53248	100416		1		
古枫霞	0	3601	3	5	30	1	20	20	20	20	20	1		52864	105280		1		
陆青淮	0	9770	3	5	30	1	20	20	20	20	20	1		51584	104544		1		
叶芷琳	0	3576	3	5	30	1	20	20	20	20	20	1		52416	100832		1		
 	0	9777	8	5	1	1	20	20	20	20	20	1		53408	100288		1		
