NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
天龙门传人	0	184	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\ditangdaochuanren.txt	1		0
地堂刀传人	0	185	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\tianlongmenchuanren.txt	1		
法人渊逃犯	0	195	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\taofan.txt	1		
神秘老者	0	197	3	5	60	1	20	20	20	20	20	1		40192	88160		1		
王重阳	0	198	3	5	150	1	20	20	20	20	20	1		38592	81088		1		
蝮蛇	0	203	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\dushe.txt	1		
采药人	0	209	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\caiyaoren.txt	1		
一叶真人	0	414	3	5	90	1	20	20	20	20	20	1		47712	78080		1		
钟志铭	0	417	3	5	90	1	20	20	20	20	20	1		39744	78080		1		
无忧子	0	418	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	39968	92448		1		0
无嗔子	0	419	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	40128	93408		1		0
灵鹤真人	0	420	3	5	60	1	20	20	20	20	20	1		41120	97472		1		
神秘金人	0	421	3	5	60	1	20	20	20	20	20	1		39136	97600		1		
皮定军	0	422	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	38784	97088		1		2
谢法师	0	423	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	39264	96960		1		2
高先化	0	424	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	39456	97568		1		2
薛自速	0	425	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	39040	97952		1		4
洞虚真人	0	426	3	5	90	1	20	20	20	20	20	1		47776	93184		1		
武当弟子	0	786	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\wudangdizi.txt	1		
武当执事弟子	0	787	3	5	60	1	20	20	20	20	20	1		50560	97408		1		
逃犯头目	0	1134	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\taofanshouling.txt	1		
武当弟子晓音	0	1416	3	5	60	1	20	20	20	20	20	1		48800	90720		1		
小天	0	1437	3	5	60	1	20	20	20	20	20	1		44704	75360		1		
小天父亲	0	1438	3	5	60	1	20	20	20	20	20	1		44992	73376		1		
古剑无痕	0	1521	3	5	60	1	20	20	20	20	20	1		41952	101504		1		
老者书信	0	1522	3	5	60	1	20	20	20	20	20	1		36512	90240		1		
去青虚真室	0	2525	4	5	1	1	20	20	20	20	20	1		47328	99488		1		
去陶永昌居所	0	2525	4	5	1	1	20	20	20	20	20	1		48896	90432		1		
去魏长风居所	0	2525	4	5	1	1	20	20	20	20	20	1		44960	93280		1		
去云麓水居	0	2525	4	5	1	1	20	20	20	20	20	1		46176	82624		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		49312	90528				2
to_jiejianchi	1															\setting\map\map_info\longhuhuanjing_1\trap\to_jiejianchi.txt			
to_laojunyan	1															\setting\map\map_info\longhuhuanjing_1\trap\to_laojunyan.txt			
to_qingxuzhenshi	1															\setting\map\map_info\longhuhuanjing_1\trap\to_qingxuzhenshi.txt			
to_taoju	1															\setting\map\map_info\longhuhuanjing_1\trap\to_taoju.txt			
to_weiju	1															\setting\map\map_info\longhuhuanjing_1\trap\to_weiju.txt			
to_yunlushuiju	1															\setting\map\map_info\longhuhuanjing_1\trap\to_yunlushuiju.txt			
幼虎	0	2056	0	5	35	1	20	20	20	20	20	1	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\area1.txt	1		
雌虎	0	2057	0	5	35	1	20	20	20	20	20	1	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\area2.txt	1		
逃犯	0	2224	0	5	35	1	20	20	20	20	20	1	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\area3.txt	1		3
蒙面刺客	0	2225	0	5	35	1	20	20	20	20	20	1	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\longhuhuanjing_1\npc\area4.txt	1		2
to_tianzhufeng	1															\setting\map\map_info\longhuhuanjing_1\trap\to_tianzhufeng.txt			
to_longhuhuanjing_2	1															\setting\map\map_info\longhuhuanjing_1\trap\to_longhuhuanjing_2.txt			
天柱峰入口	0	2525	4	5	1	1	20	20	20	20	20	1		51264	101952		1		
龙虎幻境西部入口	0	2525	4	5	1	1	20	20	20	20	20	1		36512	74112		1		
to_fight	1															\setting\map\map_info\longhuhuanjing_1\trap\to_fight.txt			
to_peace	1															\setting\map\map_info\longhuhuanjing_1\trap\to_peace.txt			
药商	0	9636	3	5	60	1	20	20	20	20	20	1		48992	90336				2
