NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
王重阳	0	190	3	5	150	1	20	20	20	20	20	1		55520	123200		1		
王重阳	0	204	3	5	150	1	20	20	20	20	20	1		53440	125952		1		
空无大师	0	205	3	5	60	1	20	20	20	20	20	1		53600	126176		1		
空无大师	0	206	0	5	35	1	20	20	20	20	20	1		56352	126272		1		
空无大师	0	200	3	5	60	1	20	20	20	20	20	1		50720	125888		1		
魏长风	0	177	3	5	60	1	20	20	20	20	20	1		60512	122976		1		2
陶永昌	0	207	3	5	60	1	20	20	20	20	20	1		59904	126048		1		
陶永昌	0	183	3	5	60	1	20	20	20	20	20	1		58400	94880		1		
陶永昌	0	188	3	5	60	1	20	20	20	20	20	1		53184	122720		1		
陶永昌	0	201	3	5	60	1	20	20	20	20	20	1		50528	125696		1		
陶永昌	0	193	3	5	60	1	20	20	20	20	20	1		57856	123296		1		
一叶真人	0	788	3	5	90	1	20	20	20	20	20	1		50752	122880				
一叶真人	0	189	3	5	90	1	20	20	20	20	20	1		53024	122528		1		
一叶真人	0	208	3	5	90	1	20	20	20	20	20	1		58592	95104		1		
天龙门传人	0	191	3	5	60	1	20	20	20	20	20	1		50240	118784		1		0
连珠箭客	0	194	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\longhuhuanjing_1_shinei\npc\lianzhujianke.txt	1		2
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		58240	95488		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		50240	119456		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		50400	123360		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		52832	123136		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		55168	123648		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		57504	123872		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		60160	123456		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		50336	126368		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		53248	126528		1		
去云麓水居	0	2525	4	5	1	1	20	20	20	20	20	1		56032	126752		1		
去龙虎幻境东部	0	2525	4	5	1	1	20	20	20	20	20	1		59360	126848		1		
to_exit3	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit3.txt			
to_exit17	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit17.txt			
to_exit21	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit21.txt			
to_exit22	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit22.txt			
to_exit23	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit23.txt			
to_exit24	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit24.txt			
to_exit25	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit25.txt			
to_exit26	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit26.txt			
to_exit27	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit27.txt			
to_exit28	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit28.txt			
to_exit29	1															\setting\map\map_info\longhuhuanjing_1_shinei\trap\to_exit29.txt			
