NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
幼熊	0	2010	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\longmenkezhan\npc\area1.txt			
驯养的麋鹿	0	2201	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\longmenkezhan\npc\area2.txt			
野生小猴	0	2202	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\longmenkezhan\npc\area3.txt			
黄虎	0	2009	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\longmenkezhan\npc\area4.txt			
to_longmenzhen	1															\setting\map\map_info\longmenkezhan\trap\to_longmenzhen.txt			
龙门镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		65632	113728				
沈铁石	0	3582	3	5	60	1	20	20	20	20	20	1		58304	117344		1		
许仕伟	0	3583	3	5	60	1	20	20	20	20	20	1		58112	117632		1		
驯养的麋鹿寻路点	0	3597	5	5	1	1	20	20	20	20	20	1		62592	120672		1		
野生小猴寻路点	0	3598	5	5	1	1	20	20	20	20	20	1		58944	118912		1		
黄虎寻路点	0	3599	5	5	1	1	20	20	20	20	20	1		56320	113856		1		
幼熊寻路点	0	3600	5	5	1	1	20	20	20	20	20	1		60896	113600		1		
驯养的麋鹿寻路点1	0	4675	5	5	1	1	20	20	20	20	20	1		64928	123904		1		
驯养的麋鹿寻路点2	0	4676	5	5	1	1	20	20	20	20	20	1		64640	117792		1		
驯养的麋鹿寻路点3	0	4677	5	5	1	1	20	20	20	20	20	1		61344	119072		1		
