NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_balingxian	1															\setting\map\map_info\mingjiao\trap\to_balingxian.txt			
to_nanyibuluo	1															\setting\map\map_info\mingjiao\trap\to_nanyibuluo.txt			
巴陵县入口	0	2525	4	5	1	1	20	20	20	20	20	1		46752	104736		1		
南夷部落入口	0	2525	4	5	1	1	20	20	20	20	20	1		56704	102912		1		
水莲	0	3475	3	5	90	1	20	20	20	20	20	1		48576	102592		1		
慕容昭	0	3476	3	5	90	1	20	20	20	20	20	1		52096	99360		1		
盖亚	0	3477	3	5	90	1	20	20	20	20	20	1		53312	100608		1		
谢舒容	0	3478	3	5	90	1	20	20	20	20	20	1		53696	99200		1		
方行觉	0	3479	3	5	150	1	20	20	20	20	20	1		56096	96544		1		
物品保管人	0	2599	3	5	90	1	20	20	20	20	20	1		51808	101472		1		
兵器铺老板	0	2645	3	5	90	1	20	20	20	20	20	1		50336	100576		1		
防具铺老板	0	2646	3	5	90	1	20	20	20	20	20	1		49792	101184		1		
药铺老板	0	2647	3	5	90	1	20	20	20	20	20	1		52128	104256		1		
杂货铺老板	0	2648	3	5	90	1	20	20	20	20	20	1		49312	101664		1		
门派总管	0	2649	3	5	90	1	20	20	20	20	20	1		51040	102784		1		
门派传送人	0	2650	3	5	90	1	20	20	20	20	20	1		52288	101984		1		
门派传送人寻路点	0	2615	5	5	1	1	20	20	20	20	20	1		52288	101984		1		
酒楼老板	0	2652	3	5	90	1	20	20	20	20	20	1		52672	103744		1		
柳河图	0	3472	3	5	90	1	20	20	20	20	20	1		53024	102880		1		
高春秋	0	3473	3	5	90	1	20	20	20	20	20	1		51040	100832		1		
小青	0	6104	5	5	1	1	20	20	20	20	20	1		47488	103040		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		51136	101984				2
6017	0	6017	5	5	1	1	20	20	20	20	20	1		57632	96736		1		
6023	0	6023	5	5	1	1	20	20	20	20	20	1		58560	99680		1		
6023	0	6023	5	5	1	1	20	20	20	20	20	1		59488	98528		1		
6028	0	6028	5	5	1	1	20	20	20	20	20	1		46944	102624		1		
6028	0	6028	5	5	1	1	20	20	20	20	20	1		58592	98112		1		
6033	0	6033	5	5	1	1	20	20	20	20	20	1		47584	106944		1		
6035	0	6035	5	5	1	1	20	20	20	20	20	1		47424	107040		1		
老张	0	6074	5	5	1	1	20	20	20	20	20	1		49152	102592		1		
芊芊	0	6087	5	5	1	1	20	20	20	20	20	1		55520	99104		1		
猛真	0	6088	5	5	1	1	20	20	20	20	20	1		53856	95360		1		
6089	0	6089	5	5	1	1	20	20	20	20	20	1		50848	99968		1		
6096	0	6096	5	5	1	1	20	20	20	20	20	1		53792	95328		1		
猛阔	0	6100	5	5	1	1	20	20	20	20	20	1		58784	98624		1		
