NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
南蛮刀客	0	2219	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\nanyibuluo\npc\area1.txt			1
南蛮巫女	0	2220	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\nanyibuluo\npc\area2.txt			1
黑心犬	0	2048	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\nanyibuluo\npc\area3.txt			
南蛮猎手	0	2047	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\nanyibuluo\npc\area4.txt			3
韩破山	0	349	3	5	90	1	20	20	20	20	20	1		52896	115008				
to_wudujiao	1															\setting\map\map_info\nanyibuluo\trap\to_wudujiao.txt			
to_yuanshisenlin_1	1															\setting\map\map_info\nanyibuluo\trap\to_yuanshisenlin_1.txt			
to_mingjiao	1															\setting\map\map_info\nanyibuluo\trap\to_mingjiao.txt			
五毒教入口	0	2525	4	5	1	1	20	20	20	20	20	1		58784	102240				
原始森林东部入口	0	2525	4	5	1	1	20	20	20	20	20	1		54400	117856				
明教入口	0	2525	4	5	1	1	20	20	20	20	20	1		51200	107040				
