NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
义军叛徒	0	2204	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\qilianshan\npc\area1.txt	1		5
强贼	0	2203	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\qilianshan\npc\area2.txt	1		0
劣质机关人	0	2025	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\qilianshan\npc\area3.txt	1		0
小机关兽	0	2026	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\qilianshan\npc\area4.txt	1		
蒙古武士	0	3586	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\qilianshan\npc\area5.txt	1		3
西夏武士	0	3587	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\qilianshan\npc\area6.txt	1		0
金国武士	0	3588	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\qilianshan\npc\area7.txt	1		1
南宋武士	0	3589	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\qilianshan\npc\area8.txt	1		0
to_longmenzhen	1															\setting\map\map_info\qilianshan\trap\to_longmenzhen.txt			
龙门镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		65728	103424				
白疆	0	3585	3	5	60	1	20	20	20	20	20	1		55968	117920		1		0
高升	0	3590	3	5	60	1	20	20	20	20	20	1		56224	118016		1		
崔剑	0	3591	3	5	60	1	20	20	20	20	20	1		55776	118208		1		
界山宗	0	3584	3	5	60	1	20	20	20	20	20	1		62432	113984		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		56128	117408		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		56416	118112		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		55872	118720		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		55456	117984		1		
义军叛徒寻路点	0	2615	5	5	1	1	20	20	20	20	20	1		63616	105856		1		
义军叛徒2寻路点	0	2616	5	5	1	1	20	20	20	20	20	1		60832	110432		1		
强贼寻路点	0	2617	5	5	1	1	20	20	20	20	20	1		60832	114816		1		
劣质机关人寻路点	0	2618	5	5	1	1	20	20	20	20	20	1		55392	111808		1		
小机关兽寻路点	0	2619	5	5	1	1	20	20	20	20	20	1		56256	109600		1		
蒙古武士寻路点	0	2620	5	5	1	1	20	20	20	20	20	1		55200	117216		1		
西夏武士寻路点	0	2621	5	5	1	1	20	20	20	20	20	1		57568	117440		1		
金国武士寻路点	0	2622	5	5	1	1	20	20	20	20	20	1		54912	119392		1		
南宋武士寻找路点	0	2623	5	5	1	1	20	20	20	20	20	1		53984	116448		1		
义军叛徒新增寻路点1	0	3651	5	5	1	1	20	20	20	20	20	1		63040	112000		1		
义军叛徒新增寻路点2	0	3652	5	5	1	1	20	20	20	20	20	1		59264	104800		1		
义军叛徒新增寻路点3	0	3653	5	5	1	1	20	20	20	20	20	1		61536	108672		1		
强贼寻路点2	0	4678	5	5	1	1	20	20	20	20	20	1		54080	120640		1		
强贼寻路点3	0	4679	5	5	1	1	20	20	20	20	20	1		60512	117696		1		
