NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
栈道恶猿	0	2301	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\sanxiazhandao\npc\area1.txt			
栈道樵子	0	2302	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\sanxiazhandao\npc\area2.txt			
乔装舵手	0	2303	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\sanxiazhandao\npc\area3.txt			
栈道赤蟒	0	2304	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\sanxiazhandao\npc\area4.txt			
to_jiangjincun	1															\setting\map\map_info\sanxiazhandao\trap\to_jiangjincun.txt			
江津村入口	0	2525	4	5	1	1	20	20	20	20	20	1		48128	114944		1		
丰都鬼城入口	0	2525	4	5	1	1	20	20	20	20	20	1		50880	126464		1		
蒙古将领	0	4356	3	5	150	1	20	20	20	20	20	1		52000	115904		1		
金国将领	0	4357	3	5	150	1	20	20	20	20	20	1		62144	117120		1		
宋国将领	0	4358	3	5	150	1	20	20	20	20	20	1		54560	123808		1		
李天科	0	4350	3	5	150	1	20	20	20	20	20	1		53632	124544		1		
朝廷侍卫	0	4371	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\sanxiazhandao\npc\chiwei3.txt			
to_shennvfeng	1															\setting\map\map_info\sanxiazhandao\trap\to_shennvfeng.txt			
神女峰入口	0	2525	4	5	1	1	20	20	20	20	20	1		64512	106752		1		
to_fengduguicheng	1															\setting\map\map_info\sanxiazhandao\trap\to_fengduguicheng.txt			
试炼龙柱	0	4448	0	5	80	1	20	20	20	20	20	1		54592	126784		1		
殷卜元	0	4611	3	5	130	1	20	20	20	20	20	1		60896	124000		1		
祁田丰	0	4612	3	5	130	1	20	20	20	20	20	1		55360	124032		1		
劫货贼	0	4613	0	5	130	1	20	20	20	20	20	3		62688	116672				
劫货贼	0	4613	0	5	130	1	20	20	20	20	20	3		62592	116960				
劫货贼	0	4613	0	5	130	1	20	20	20	20	20	3		62656	117280				
劫货贼	0	4613	0	5	130	1	20	20	20	20	20	3		62912	117216				
劫货贼	0	4613	0	5	130	1	20	20	20	20	20	3		62880	117728				
劫货贼	0	4613	0	5	130	1	20	20	20	20	20	3		62528	117920				
劫货贼	0	4613	0	5	130	1	20	20	20	20	20	3		62464	118080				
劫货贼	0	4613	0	5	130	1	20	20	20	20	20	3		62432	116608				
劫货贼头领	0	4614	0	5	130	1	20	20	20	20	20	3		62880	116928				
劫货贼头领	0	4614	0	5	130	1	20	20	20	20	20	3		62688	117504				
劫货贼头领	0	4614	0	5	130	1	20	20	20	20	20	3		62752	118176				
劫货贼头领	0	4614	0	5	130	1	20	20	20	20	20	3		62656	118304				
劫货贼头领	0	4614	0	5	130	1	20	20	20	20	20	3		62304	118080				
混阳殿·光入口	0	2525	4	5	1	1	20	20	20	20	20	1		61728	116192		1		
to_hunyangdianguang1	1															\setting\map\map_info\sanxiazhandao\trap\to_hunyangdianguang1.txt			
混阳殿·光入口	0	2525	4	5	1	1	20	20	20	20	20	1		58368	120704		1		
to_hunyangdianguang2	1															\setting\map\map_info\sanxiazhandao\trap\to_hunyangdianguang2.txt			
混阳殿·影入口	0	2525	4	5	1	1	20	20	20	20	20	1		50496	110016		1		
to_hunyangdianying1	1															\setting\map\map_info\sanxiazhandao\trap\to_hunyangdianying1.txt			
混阳殿·影入口	0	2525	4	5	1	1	20	20	20	20	20	1		55008	104288		1		
to_hunyangdianying2	1															\setting\map\map_info\sanxiazhandao\trap\to_hunyangdianying2.txt			
