NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
路标	0	9736	8	0	1	1	20	20	20	20	20	1		51007	100608				
路标	0	9737	8	0	1	1	20	20	20	20	20	1		49152	99392				
路标	0	9738	8	0	1	1	20	20	20	20	20	1		49856	97920				
路标	0	9739	8	0	1	1	20	20	20	20	20	1		50464	98688				
路标	0	9740	8	0	1	1	20	20	20	20	20	1		52032	101600				
路标	0	9741	8	0	1	1	20	20	20	20	20	1		51296	101760				
路标	0	9742	8	0	1	1	20	20	20	20	20	1		50240	97600				
路标	0	9743	8	0	1	1	20	20	20	20	20	1		51776	98048				
路标	0	9744	8	0	1	1	20	20	20	20	20	1		52352	98368				
路标(金)	0	9745	8	0	1	1	20	20	20	20	20	1		51424	97760				
路标(木)	0	9746	8	0	1	1	20	20	20	20	20	1		52128	97120				
路标(水)	0	9747	8	0	1	1	20	20	20	20	20	1		53600	98688				
路标(火)	0	9748	8	0	1	1	20	20	20	20	20	1		53056	99424				
路标(土)	0	9749	8	0	1	1	20	20	20	20	20	1		53184	97504				
