NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
牛震山	0	3119	0	5	95	1	20	20	20	20	20	16		51904	93408				0
元十二	0	3120	0	5	95	1	20	20	20	20	20	16		53504	107456				1
姚青萍	0	3121	0	5	95	1	20	20	20	20	20	16		46016	110080				2
孙月楼	0	3122	0	5	95	1	20	20	20	20	20	16		49152	93984				4
to_daoxiangcun	1															\setting\map\map_info\shugangmijing\trap\to_daoxiangcun.txt			
to_funiushan	1															\setting\map\map_info\shugangmijing\trap\to_funiushan.txt			
to_jianjudong	1															\setting\map\map_info\shugangmijing\trap\to_jianjudong.txt			
稻香村入口	0	2525	4	5	1	1	20	20	20	20	20	1		57760	106080		1		
伏牛山入口	0	2525	4	5	1	1	20	20	20	20	20	1		43936	109216		1		
荐菊洞入口	0	2525	4	5	1	1	20	20	20	20	20	1		57312	96768		1		
浮游散兵	0	2265	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\shugangmijing\npc\area1.txt			
秘境矛手	0	2266	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\shugangmijing\npc\area2.txt			
江湖郎中	0	2267	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\shugangmijing\npc\area3.txt			
山猫	0	2268	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\shugangmijing\npc\area4.txt			
神秘人甲	0	1844	0	5	95	1	20	20	20	20	20	16		51904	102368				0
神秘人乙	0	1845	0	5	95	1	20	20	20	20	20	16		51264	102368				1
神秘人丙	0	1846	0	5	95	1	20	20	20	20	20	16		51552	101632				2
大禹台入口	0	2525	4	5	1	1	20	20	20	20	20	1		50112	93120		1		
to_dayutai	1															\setting\map\map_info\shugangmijing\trap\to_dayutai.txt			
梁山泊入口	0	2525	4	5	1	1	20	20	20	20	20	1		56128	95584		1		
to_liangshanpo	1															\setting\map\map_info\shugangmijing\trap\to_liangshanpo.txt			
