NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
宋轻骑兵	0	2168	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shugangshan\npc\area1.txt			
宋军枪兵	0	2169	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shugangshan\npc\area2.txt			
宋军弩手	0	2170	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shugangshan\npc\area3.txt			
宋军枪兵	0	2169	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shugangshan\npc\area4.txt			
to_hanshangucha	1															\setting\map\map_info\shugangshan\trap\to_hanshangucha.txt			
to_yangzhoufu	1															\setting\map\map_info\shugangshan\trap\to_yangzhoufu.txt			
to_jianjudong	1															\setting\map\map_info\shugangshan\trap\to_jianjudong.txt			
寒山古刹入口	0	2525	4	5	75	1	20	20	20	20	20	1		63488	122784				
扬州府入口	0	2525	4	5	75	1	20	20	20	20	20	1		57760	125792				
荐菊洞入口	0	2525	4	5	75	1	20	20	20	20	20	1		51776	102624				
毕全	0	1052	3	5	75	1	20	20	20	20	20	1		59136	107456				
杜宾	0	1053	3	5	75	1	20	20	20	20	20	1		60480	106784				
水井	0	1580	3	5	75	1	20	20	20	20	20	1		59168	108704				
守卫	0	434	3	5	75	1	20	20	20	20	20	1		57792	108896				
守卫	0	434	3	5	75	1	20	20	20	20	20	1		58144	105984				
守卫	0	434	3	5	75	1	20	20	20	20	20	1		58336	105792				
守卫	0	434	3	5	75	1	20	20	20	20	20	1		58016	109120				
守卫	0	434	3	5	75	1	20	20	20	20	20	1		60224	105856				
守卫	0	434	3	5	75	1	20	20	20	20	20	1		60384	105984				
守卫	0	434	3	5	75	1	20	20	20	20	20	1		60128	108416				
守卫	0	434	3	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	59936	108608				
七步蛇	0	1056	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	62272	117632				
七步蛇	0	1056	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	62304	116736				
七步蛇	0	1056	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	62432	118016				
七步蛇	0	1056	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	62912	117120				
七步蛇	0	1056	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	63008	118528				
七步蛇	0	1056	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	63456	118272				
看守	0	1055	0	0	75	1	20	20	20	20	20	1		58272	107424				
看守	0	1055	0	0	75	1	20	20	20	20	20	1		59296	106144				
看守	0	1055	0	0	75	1	20	20	20	20	20	1		58880	108224				
看守	0	1055	0	0	75	1	20	20	20	20	20	1		59936	106944				
盐商	0	1000	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	51904	105216				
盐商	0	1000	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	52416	104704				
盐商	0	1000	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	53728	103072				
盐商	0	1000	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	53344	103680				
盐商	0	1000	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54112	102336				
盐商	0	1000	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54240	103328				
生病的官员	0	1054	0	0	75	1	20	20	20	20	20	1		57664	107968				
生病的官员	0	1054	0	0	75	1	20	20	20	20	20	1		58144	106784				
生病的官员	0	1054	0	0	75	1	20	20	20	20	20	1		58496	108704				
生病的官员	0	1054	0	0	75	1	20	20	20	20	20	1		59264	105600				
生病的官员	0	1054	0	0	75	1	20	20	20	20	20	1		58944	108608				
生病的官员	0	1054	0	0	75	1	20	20	20	20	20	1		59680	105952				
生病的官员	0	1054	0	0	75	1	20	20	20	20	20	1		60512	107200				
叶华容	0	3063	0	5	75	1	20	20	20	20	20	16		57408	102912				0
卓七郎	0	3064	0	5	75	1	20	20	20	20	20	16		63200	109152				1
左弃名	0	3065	0	5	75	1	20	20	20	20	20	16		55008	125056				2
白苍岩	0	3066	0	5	75	1	20	20	20	20	20	16		52096	112384				3
沈必归	0	5059	0	5	120	1	20	20	20	20	20	1		57792	113888				
