NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
义军叛徒	0	2204	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\shunanzhuhai\npc\area1.txt	1		5
强贼	0	2203	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\shunanzhuhai\npc\area2.txt	1		0
劣质机关人	0	2025	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\shunanzhuhai\npc\area3.txt	1		0
小机关兽	0	2026	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\shunanzhuhai\npc\area4.txt	1		
蒙古武士	0	3586	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\shunanzhuhai\npc\area5.txt	1		3
西夏武士	0	3587	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\shunanzhuhai\npc\area6.txt	1		0
金国武士	0	3588	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\shunanzhuhai\npc\area7.txt	1		1
南宋武士	0	3589	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\shunanzhuhai\npc\area8.txt	1		0
to_jiangjincun	1															\setting\map\map_info\shunanzhuhai\trap\to_jiangjincun.txt			
江津村入口	0	2525	4	5	1	1	20	20	20	20	20	1		65536	108928		1		
白疆	0	3585	3	5	60	1	20	20	20	20	20	1		55072	130112		1		0
高升	0	3590	3	5	60	1	20	20	20	20	20	1		55040	129792		1		
崔剑	0	3591	3	5	60	1	20	20	20	20	20	1		55232	129888		1		
界山宗	0	3584	3	5	60	1	20	20	20	20	20	1		62080	113152		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		55072	129376		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		55584	129664		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		54688	129376		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		55424	128832		1		
义军叛徒寻路点	0	2615	5	5	1	1	20	20	20	20	20	1		63840	106880		1		
义军叛徒2寻路点	0	2616	5	5	1	1	20	20	20	20	20	1		61408	109088		1		
强贼寻路点	0	2617	5	5	1	1	20	20	20	20	20	1		60608	112352		1		
劣质机关人寻路点	0	2618	5	5	1	1	20	20	20	20	20	1		56704	117248		1		
小机关兽寻路点	0	2619	5	5	1	1	20	20	20	20	20	1		53824	117280		1		
蒙古武士寻路点	0	2620	5	5	1	1	20	20	20	20	20	1		61184	123840		1		
西夏武士寻路点	0	2621	5	5	1	1	20	20	20	20	20	1		56448	128192		1		
金国武士寻路点	0	2622	5	5	1	1	20	20	20	20	20	1		54720	129024		1		
南宋武士寻找路点	0	2623	5	5	1	1	20	20	20	20	20	1		59392	125920		1		
义军叛徒新增寻路点1	0	3651	5	5	1	1	20	20	20	20	20	1		60032	106304		1		
义军叛徒新增寻路点2	0	3652	5	5	1	1	20	20	20	20	20	1		56192	107328		1		
义军叛徒新增寻路点3	0	3653	5	5	1	1	20	20	20	20	20	1		61184	109696		1		
强贼寻路点2	0	4678	5	5	1	1	20	20	20	20	20	1		60736	117120		1		
强贼寻路点3	0	4679	5	5	1	1	20	20	20	20	20	1		57376	115584		1		
