NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
西夏骑兵	0	2198	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\tianlongsi\npc\area3.txt	1		
护寺僧兵	0	2199	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\tianlongsi\npc\area1.txt	1		
乌蛮勇士	0	2200	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\tianlongsi\npc\area2.txt	1		
乌蛮勇士	0	2200	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\tianlongsi\npc\area4.txt	1		
to_diancangshan	1															\setting\map\map_info\tianlongsi\trap\to_diancangshan.txt			
to_erhaimoyan	1															\setting\map\map_info\tianlongsi\trap\to_erhaimoyan.txt			
点苍山入口	0	2525	4	5	85	1	20	20	20	20	20	1		55936	123040				
洱海摩岩入口	0	2525	4	5	85	1	20	20	20	20	20	1		61600	112800				
柴廷	0	642	3	5	85	1	20	20	20	20	20	1		58528	117824		1		
惠明禅师	0	630	3	5	85	1	20	20	20	20	20	1		60416	100416		1		
季茹	0	627	3	5	85	1	20	20	20	20	20	1		58496	119104		1		
黎慕	0	643	3	5	85	1	20	20	20	20	20	1		57888	119168		1		
罗姆司	0	631	3	5	85	1	20	20	20	20	20	1		59328	116608		1		
摩摩尔	0	653	3	5	85	1	20	20	20	20	20	1		51872	108768		1		
图雅	0	651	3	5	85	1	20	20	20	20	20	1		59328	115392		1		
阿童	0	621	3	5	85	1	20	20	20	20	20	1		57856	122336		1		
哈木	0	624	0	5	85	1	20	20	20	20	20	2	\setting\npc\droprate\droprate009.txt	61056	103392		1		
信徒	0	625	0	5	85	1	20	20	20	20	20	2	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\tianlongsi\npc\xintu.txt	1		
蛮兵	0	575	0	5	85	1	20	20	20	20	20	2	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\tianlongsi\npc\manbing.txt	1		
 	0	623	3	5	85	1	20	20	20	20	20	1				\setting\map\map_info\tianlongsi\npc\caolianwuseng.txt	1		
容大	0	4412	0	5	115	1	20	20	20	20	20	2	\setting\npc\droprate\droprate009.txt	52192	107392		1		
田二	0	4413	0	5	115	1	20	20	20	20	20	2	\setting\npc\droprate\droprate009.txt	52128	108096		1		
葛三	0	4414	0	5	115	1	20	20	20	20	20	2	\setting\npc\droprate\droprate009.txt	52640	108064		1		
僧兵	0	628	3	5	85	1	20	20	20	20	20	1		59808	101216		1		
僧兵	0	628	3	5	85	1	20	20	20	20	20	1		59648	101088		1		
to_dariluo	1															\setting\map\map_info\tianlongsi\trap\to_dariluo.txt			
大日罗居所	0	2525	4	5	85	1	20	20	20	20	20	1		60384	116160				
to_shangxianzhuang	1															\setting\map\map_info\tianlongsi\trap\to_shangxianzhuang.txt			
上仙庄	0	2525	4	5	85	1	20	20	20	20	20	1		54976	120896				
大雕	0	1084	3	5	85	1	20	20	20	20	20	1		60928	117184		1		
甘正孤	0	3099	0	5	85	1	20	20	20	20	20	16		51136	119040				0
耿容复	0	3100	0	5	85	1	20	20	20	20	20	16		52192	106336				1
沽誉叟	0	3101	0	5	85	1	20	20	20	20	20	16		59104	107424				2
段凌月	0	3102	0	5	85	1	20	20	20	20	20	16		57376	120192				3
