NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
劣质机关人	0	2025	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\tongguan\npc\area1.txt	1		0
小机关兽	0	2026	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\tongguan\npc\area2.txt	1		
义军叛徒	0	2204	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\tongguan\npc\area3.txt	1		5
强贼	0	2203	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\tongguan\npc\area4.txt	1		0
蒙古武士	0	3586	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\tongguan\npc\area5.txt	1		3
西夏武士	0	3587	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\tongguan\npc\area6.txt	1		0
金国武士	0	3588	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\tongguan\npc\area7.txt	1		1
南宋武士	0	3589	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\tongguan\npc\area8.txt	1		0
to_yonglezhen	1															\setting\map\map_info\tongguan\trap\to_yonglezhen.txt			
永乐镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		58304	124896				
白疆	0	3585	3	5	60	1	20	20	20	20	20	1		61088	108544		1		0
高升	0	3590	3	5	60	1	20	20	20	20	20	1		60800	108576		1		
崔剑	0	3591	3	5	60	1	20	20	20	20	20	1		61120	108800		1		
界山宗	0	3584	3	5	60	1	20	20	20	20	20	1		53824	104448		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		60384	108704		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		59968	109120		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		61344	109216		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		60704	109600		1		
义军叛徒寻路点	0	2615	5	5	1	1	20	20	20	20	20	1		58272	122368		1		
义军叛徒2寻路点	0	2616	5	5	1	1	20	20	20	20	20	1		54688	121856		1		
强贼寻路点	0	2617	5	5	1	1	20	20	20	20	20	1		53568	107200		1		
劣质机关人寻路点	0	2618	5	5	1	1	20	20	20	20	20	1		58976	110912		1		
小机关兽寻路点	0	2619	5	5	1	1	20	20	20	20	20	1		62880	117472		1		
蒙古武士寻路点	0	2620	5	5	1	1	20	20	20	20	20	1		62208	105440		1		
西夏武士寻路点	0	2621	5	5	1	1	20	20	20	20	20	1		63168	108896		1		
金国武士寻路点	0	2622	5	5	1	1	20	20	20	20	20	1		60608	107200		1		
南宋武士寻找路点	0	2623	5	5	1	1	20	20	20	20	20	1		58368	108384		1		
义军叛徒新增寻路点1	0	3651	5	5	1	1	20	20	20	20	20	1		56064	117952		1		
义军叛徒新增寻路点2	0	3652	5	5	1	1	20	20	20	20	20	1		52128	119232		1		
义军叛徒新增寻路点3	0	3653	5	5	1	1	20	20	20	20	20	1		52384	115456		1		
强贼寻路点2	0	4678	5	5	1	1	20	20	20	20	20	1		51424	108000		1		
强贼寻路点3	0	4679	5	5	1	1	20	20	20	20	20	1		55744	111008		1		
