NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_shamomigong	1															\setting\map\map_info\wulahaicheng\trap\to_shamomigong.txt			
沙漠迷宫入口	0	2525	4	5	1	1	20	20	20	20	20	1		50816	115136				
to_luhegu	1															\setting\map\map_info\wulahaicheng\trap\to_luhegu.txt			
鹿合谷入口	0	2525	4	5	1	1	20	20	20	20	20	1		51392	123200				
haicheng_safe_enter1	1															\setting\map\map_info\wulahaicheng\trap\haicheng_safe_enter01.txt			
蒙古后方大营出入口	0	2525	4	5	1	1	20	20	20	20	20	1		53184	111936				
蒙古后方大营出入口	0	2525	4	5	1	1	20	20	20	20	20	1		51808	113312				
haicheng_safe_exit1	1															\setting\map\map_info\wulahaicheng\trap\haicheng_safe_exit01.txt			
haicheng_safe_enter2	1															\setting\map\map_info\wulahaicheng\trap\haicheng_safe_enter02.txt			
haicheng_safe_exit2	1															\setting\map\map_info\wulahaicheng\trap\haicheng_safe_exit02.txt			
铁木真	0	10079	3	5	130	1	20	20	20	20	20	1		52192	111968				
孛儿吉特	0	10080	3	5	130	1	20	20	20	20	20	1		52128	112096				
窝阔台	0	10081	3	5	130	1	20	20	20	20	20	1		52160	112256				
阿拉坦藏	0	10082	3	5	130	1	20	20	20	20	20	1		52224	112384				
尼斯格巴日	0	10083	3	5	130	1	20	20	20	20	20	1		52288	111936				
斡其尔	0	10084	3	5	130	1	20	20	20	20	20	1		52384	111968				
西晋满达	0	10085	3	5	130	1	20	20	20	20	20	1		52480	112032				
被擒的俘虏	0	10086	3	5	130	1	20	20	20	20	20	1		51968	112288				
昌宁流户	0	10087	0	5	125	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\wulahaicheng\npc\minions01.txt			
火儿赤	0	10088	0	5	125	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\wulahaicheng\npc\minions02.txt			
燃料	0	10090	3	5	130	1	20	20	20	20	20	1							
马粪堆	0	10089	3	5	130	1	20	20	20	20	20	1				\setting\map\map_info\wulahaicheng\npc\task_shumu.txt			
马草	0	10091	3	5	130	1	20	20	20	20	20	1				\setting\map\map_info\wulahaicheng\npc\task_macao.txt			
树洞	0	10066	3	5	130	1	20	20	20	20	20	1		56832	120224				
砖头	0	10067	3	5	130	1	20	20	20	20	20	1		52000	117632				
巴图	0	10048	3	5	130	1	20	20	20	20	20	1		52800	112800				
格日勒图	0	10050	3	5	130	1	20	20	20	20	20	1		52704	112896				
老妪	0	9986	3	5	130	1	20	20	20	20	20	1		52672	125408				
冶炼大师	0	3574	3	5	130	1	20	20	20	20	20	1		52672	113088				
药商	0	10036	3	5	130	1	20	20	20	20	20	1		52928	112800				
车夫	0	2597	3	5	130	1	20	20	20	20	20	1		53088	112608				
物品保管人	0	2599	3	5	130	1	20	20	20	20	20	1		53216	112512				
