NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
田不二	0	3131	0	5	95	1	20	20	20	20	20	16		58976	111008				2
沈五郎	0	3132	0	5	95	1	20	20	20	20	20	16		61824	123744				3
史铁掌	0	3133	0	5	95	1	20	20	20	20	20	16		54080	121664				1
余正海	0	3134	0	5	95	1	20	20	20	20	20	16		51808	114272				0
to_longquancun	1															\setting\map\map_info\wuyishan\trap\to_longquancun.txt			
to_wuyishanjingshe	1															\setting\map\map_info\wuyishan\trap\to_wuyishanjingshe.txt			
to_jiuyixi	1															\setting\map\map_info\wuyishan\trap\to_jiuyixi.txt			
龙泉村入口	0	2525	4	5	1	1	20	20	20	20	20	1		57600	104384		1		
武夷山精舍入口	0	2525	4	5	1	1	20	20	20	20	20	1		54496	104576		1		
九嶷溪入口	0	2525	4	5	1	1	20	20	20	20	20	1		49248	116480		1		
长歌门仕子	0	2277	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\area1.txt			
红衣喽罗	0	2278	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\area2.txt			
紫衣喽罗	0	2279	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\area3.txt			
野生华南虎	0	2280	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\area4.txt			
辛弃疾	0	1829	3	5	60	1	20	20	20	20	20	1		56128	120448		1		
陆游	0	1830	3	5	60	1	20	20	20	20	20	1		56256	120320		1		
朱熹	0	1831	3	5	60	1	20	20	20	20	20	1		56384	120288		1		
窦昊	0	1832	3	5	60	1	20	20	20	20	20	1		56480	120448		1		
神秘书生	0	1878	3	5	60	1	20	20	20	20	20	1		57088	118624		1		
张虎帮凶	0	1879	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\zhanghu.txt			
润玉墨	0	1642	3	5	60	1	20	20	20	20	20	1		54112	115008		1		
落魄相士	0	1833	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt	58752	113600				
红衣头目	0	4323	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\hongyitoumu.txt			
紫衣头目	0	4324	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\ziyitoumu.txt			
偷书贼	0	4325	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\toushuzei.txt			
偷书贼头目	0	4326	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\toushuzeitoumu.txt			
朝廷侍卫	0	4371	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\wuyishan\npc\chaotingshiwei.txt			
to_suoyunyuan	1															\setting\map\map_info\wuyishan\trap\to_suoyunyuan.txt			
锁云渊入口	0	2525	4	5	1	1	20	20	20	20	20	1		50144	123328		1		
to_gulangyu	1															\setting\map\map_info\wuyishan\trap\to_gulangyu.txt			
鼓浪屿入口	0	2525	4	5	1	1	20	20	20	20	20	1		59584	125888		1		
