NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
殷卜元	0	801	3	5	60	1	20	20	20	20	20	1		52032	95584		1		
毕舒扬	0	802	3	5	60	1	20	20	20	20	20	1		51808	95648		1		
严蕊	0	955	3	5	60	1	20	20	20	20	20	1		51552	92736		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		51008	100448				
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		51616	100032				
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		51968	99776				
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		52704	99616				
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		52992	100064				
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		53696	100896				
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		56416	102784				
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		54880	97856				
木良	0	3569	3	5	60	1	20	20	20	20	20	1		53984	98464				
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		53536	102944				
公平子	0	2501	3	5	60	1	20	20	20	20	20	1		49728	102176				
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		49344	105888				2
礼官	0	2601	3	5	60	1	20	20	20	20	20	1		52704	97632				
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	1		49824	96320				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		52320	101280				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		54912	104032				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		48992	102752				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		48608	95648				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		55936	96960				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		55296	103392				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		49632	103008				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		49248	95136				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		55360	96992				
马贩	0	2605	3	5	60	1	20	20	20	20	20	1		50944	95648				
to_yonglezhen	1															\setting\map\map_info\xiangyangfu\trap\to_yonglezhen.txt			
to_balingxian	1															\setting\map\map_info\xiangyangfu\trap\to_balingxian.txt			
to_wudangpai	1															\setting\map\map_info\xiangyangfu\trap\to_wudangpai.txt			
to_jianmenguan	1															\setting\map\map_info\xiangyangfu\trap\to_jianmenguan.txt			
to_hanshuigudu	1															\setting\map\map_info\xiangyangfu\trap\to_hanshuigudu.txt			
永乐镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		56832	95104				
巴陵县入口	0	2525	4	5	1	1	20	20	20	20	20	1		47296	106144				
武当派入口	0	2525	4	5	1	1	20	20	20	20	20	1		46688	93536				
剑门关入口	0	2525	4	5	1	1	20	20	20	20	20	1		46080	95008				
汉水古渡入口	0	2525	4	5	1	1	20	20	20	20	20	1		56224	106496				
赵元靖	0	2607	3	5	60	1	20	20	20	20	20	1		54816	100000				
完颜隆旭	0	2608	3	5	60	1	20	20	20	20	20	1		47392	99648				
黄裳	0	2606	3	5	60	1	20	20	20	20	20	1		50176	101248				
白虎堂护卫	0	2654	3	5	60	1	20	20	20	20	20	1		51168	103968				
云游僧人	0	2625	3	5	60	1	20	20	20	20	20	1		51296	106176				
义军军需官	0	2711	3	5	60	1	20	20	20	20	20	1		53472	102880				
马穿山	0	2955	3	5	60	1	20	20	20	20	20	1		48512	98464				
襄阳老兵	0	1457	3	5	60	1	20	20	20	20	20	1		54208	95296				
慕容剑飞	0	4700	3	5	150	1	20	20	20	20	20	1		52224	105856				
6031	0	6031	5	5	1	1	20	20	20	20	20	1		49344	94976				
6031	0	6031	5	5	1	1	20	20	20	20	20	1		50048	103488				
6031	0	6031	5	5	1	1	20	20	20	20	20	1		52032	96736				
6031	0	6031	5	5	1	1	20	20	20	20	20	1		55264	96800				
6033	0	6033	5	5	1	1	20	20	20	20	20	1		50624	96224				
6033	0	6033	5	5	1	1	20	20	20	20	20	1		51040	95744				
6033	0	6033	5	5	1	1	20	20	20	20	20	1		51968	96640				
6033	0	6033	5	5	1	1	20	20	20	20	20	1		55328	96864				
6034	0	6034	5	5	1	1	20	20	20	20	20	1		48992	95040				
6034	0	6034	5	5	1	1	20	20	20	20	20	1		50656	95584				
6035	0	6035	5	5	1	1	20	20	20	20	20	1		49952	103424				
6035	0	6035	5	5	1	1	20	20	20	20	20	1		55456	103488				
6036	0	6036	5	5	1	1	20	20	20	20	20	1		48960	95104				
6036	0	6036	5	5	1	1	20	20	20	20	20	1		50560	95648				
6037	0	6037	5	5	1	1	20	20	20	20	20	1		50528	96160				
6037	0	6037	5	5	1	1	20	20	20	20	20	1		55520	103552				
6043	0	6043	5	5	1	1	20	20	20	20	20	1		48352	103520				
6043	0	6043	5	5	1	1	20	20	20	20	20	1		51904	103936				
6044	0	6044	5	5	1	1	20	20	20	20	20	1		47072	104960				
6044	0	6044	5	5	1	1	20	20	20	20	20	1		49568	98976				
6044	0	6044	5	5	1	1	20	20	20	20	20	1		51104	97472				
6052	0	6052	5	5	1	1	20	20	20	20	20	1		50144	96480				
6052	0	6052	5	5	1	1	20	20	20	20	20	1		50016	102848				
6057	0	6057	5	5	1	1	20	20	20	20	20	1		50272	96640				
6058	0	6058	5	5	1	1	20	20	20	20	20	1		56032	102944				
6060	0	6060	5	5	1	1	20	20	20	20	20	1		50144	98464				
6065	0	6065	5	5	1	1	20	20	20	20	20	1		53344	99264				
6067	0	6067	5	5	1	1	20	20	20	20	20	1		50368	101408				
6069	0	6069	5	5	1	1	20	20	20	20	20	1		55808	103168				
6074	0	6074	5	5	1	1	20	20	20	20	20	1		54784	98656				
6090	0	6090	5	5	1	1	20	20	20	20	20	1		51648	100320				
6095	0	6095	5	5	1	1	20	20	20	20	20	1		51520	106400				
6095	0	6095	5	5	1	1	20	20	20	20	20	1		53088	105824				
6095	0	6095	5	5	1	1	20	20	20	20	20	1		53344	104384				
6099	0	6099	5	5	1	1	20	20	20	20	20	1		50016	106688				
6101	0	6101	5	5	1	1	20	20	20	20	20	1		50144	106720				
6102	0	6102	5	5	1	1	20	20	20	20	20	1		50208	106880				
6103	0	6103	5	5	1	1	20	20	20	20	20	1		48096	100512				
6103	0	6103	5	5	1	1	20	20	20	20	20	1		49952	105728				
6103	0	6103	5	5	1	1	20	20	20	20	20	1		57152	101952				
6104	0	6104	5	5	1	1	20	20	20	20	20	1		49152	96672				
6105	0	6105	5	5	1	1	20	20	20	20	20	1		49056	96672				
6109	0	6109	5	5	1	1	20	20	20	20	20	1		49312	96928				
6109	0	6109	5	5	1	1	20	20	20	20	20	1		49888	101088				
6110	0	6110	5	5	1	1	20	20	20	20	20	1		48256	103616				
6110	0	6110	5	5	1	1	20	20	20	20	20	1		49344	96992				
6111	0	6111	5	5	1	1	20	20	20	20	20	1		50048	106816				
6112	0	6112	5	5	1	1	20	20	20	20	20	1		48416	103584				
6112	0	6112	5	5	1	1	20	20	20	20	20	1		49984	101056				
6113	0	6113	5	5	1	1	20	20	20	20	20	1		51744	97920				
6114	0	6114	5	5	1	1	20	20	20	20	20	1		49600	97280				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		45216	99776				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		45568	100096				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		46496	98144				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		46912	97728				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		49664	94784				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		49952	95040				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		55776	100608				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		56320	101152				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		57056	99296				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		57376	99616				
6119	0	6119	5	5	1	1	20	20	20	20	20	1		58432	97696				
