NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
许如	0	3491	3	5	90	1	20	20	20	20	20	1		55936	107744		1		0
萧九重	0	3492	3	5	90	1	20	20	20	20	20	1		51168	104448		1		0
李全泰	0	3493	3	5	90	1	20	20	20	20	20	1		53152	102016		1		
罗日旺	0	3494	3	5	90	1	20	20	20	20	20	1		56992	106240		1		
李升阳	0	3495	3	5	150	1	20	20	20	20	20	1		55808	102880		1		
陈旧的铁箱	0	1663	3	5	150	1	20	20	20	20	20	1		55712	105216		1		
to_fengxiangfu	1															\setting\map\map_info\xixiayipintang\trap\to_fengxiangfu.txt			
to_afanggongfeixu	1															\setting\map\map_info\xixiayipintang\trap\to_afanggongfeixu.txt			
凤翔府入口	0	2525	4	5	1	1	20	20	20	20	20	1		49504	108000				
阿房宫废墟入口	0	2525	4	5	1	1	20	20	20	20	20	1		56960	110752				
桐木箱	0	1556	3	5	1	1	20	20	20	20	20	1		52992	102272		1		
6007	0	6007	5	5	1	1	20	20	20	20	20	1		56096	104736		1		
6008	0	6008	5	5	1	1	20	20	20	20	20	1		56224	104864		1		
6022	0	6022	5	5	1	1	20	20	20	20	20	1		51424	102176		1		
6022	0	6022	5	5	1	1	20	20	20	20	20	1		52096	106624		1		
6022	0	6022	5	5	1	1	20	20	20	20	20	1		52384	105824		1		
6022	0	6022	5	5	1	1	20	20	20	20	20	1		52512	106048		1		
6022	0	6022	5	5	1	1	20	20	20	20	20	1		52736	108384		1		
6022	0	6022	5	5	1	1	20	20	20	20	20	1		53568	107488		1		
6022	0	6022	5	5	1	1	20	20	20	20	20	1		53792	102048		1		
6024	0	6024	5	5	1	1	20	20	20	20	20	1		50784	101824		1		
6024	0	6024	5	5	1	1	20	20	20	20	20	1		51136	103072		1		
6024	0	6024	5	5	1	1	20	20	20	20	20	1		55424	100800		1		
6045	0	6045	5	5	1	1	20	20	20	20	20	1		55968	100256		1		
涂叔	0	6074	5	5	1	1	20	20	20	20	20	1		50080	109056		1		
纪叔	0	6074	5	5	1	1	20	20	20	20	20	1		54112	102304		1		
费叔	0	6074	5	5	1	1	20	20	20	20	20	1		55232	101504		1		
田叔	0	6074	5	5	1	1	20	20	20	20	20	1		56864	110496		1		
花壮壮	0	6088	5	5	1	1	20	20	20	20	20	1		53824	107936		1		
铁哥	0	6091	5	5	1	1	20	20	20	20	20	1		56416	106336		1		
露薇	0	6096	5	5	1	1	20	20	20	20	20	1		57280	107904		1		
虎大	0	6100	5	5	1	1	20	20	20	20	20	1		55744	109056		1		
齐大	0	6117	5	5	1	1	20	20	20	20	20	1		54880	103584		1		
齐二	0	6117	5	5	1	1	20	20	20	20	20	1		55296	103968		1		
柴凯	0	6118	5	5	1	1	20	20	20	20	20	1		51968	107264		1		
柴加	0	6118	5	5	1	1	20	20	20	20	20	1		52288	106912		1		
志勇	0	6120	5	5	1	1	20	20	20	20	20	1		55584	106080		1		
忠锐	0	6121	5	5	1	1	20	20	20	20	20	1		51648	103232		1		
忠鑫	0	6122	5	5	1	1	20	20	20	20	20	1		51904	102976		1		
鸿弘	0	6123	5	5	1	1	20	20	20	20	20	1		50816	108736		1		
麟侯	0	6123	5	5	1	1	20	20	20	20	20	1		51168	109088		1		
大瓜	0	6123	5	5	1	1	20	20	20	20	20	1		54272	104384		1		
二瓜	0	6123	5	5	1	1	20	20	20	20	20	1		54656	104768		1		
