NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		49888	101280				
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		50496	101632				
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		50688	100960				
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		51072	101312				
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		51584	101792				
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		51872	102592				
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		49952	102592				
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		51584	103520				
木良	0	3569	3	5	60	1	20	20	20	20	20	1		49024	101536				
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		50912	102368				
公平子	0	2501	3	5	60	1	20	20	20	20	20	1		49504	103296				
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		47680	101440				2
礼官	0	2601	3	5	60	1	20	20	20	20	20	1		53696	101568				
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	1		51680	97504				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		51776	100480				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		51904	107328				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		47584	105024				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		47968	100224				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		52320	99936				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		52672	106624				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		46912	104960				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		48576	99776				
马贩	0	2605	3	5	60	1	20	20	20	20	20	1		53472	105920				
to_daoxiangcun	1															\setting\map\map_info\yangzhoufu\trap\to_daoxiangcun.txt			
to_gaibang	1															\setting\map\map_info\yangzhoufu\trap\to_gaibang.txt			
to_hanshangucha	1															\setting\map\map_info\yangzhoufu\trap\to_hanshangucha.txt			
to_shugangshan	1															\setting\map\map_info\yangzhoufu\trap\to_shugangshan.txt			
稻香村入口	0	2525	4	5	1	1	20	20	20	20	20	1		46944	98624				
丐帮入口	0	2525	4	5	1	1	20	20	20	20	20	1		46080	107136				
寒山古刹入口	0	2525	4	5	1	1	20	20	20	20	20	1		54048	108384				
蜀冈山入口	0	2525	4	5	1	1	20	20	20	20	20	1		53248	97600				
杜复康	0	604	3	5	60	1	20	20	20	20	20	1		49600	106080				
赵元靖	0	2607	3	5	60	1	20	20	20	20	20	1		48192	105632				
完颜隆旭	0	2608	3	5	60	1	20	20	20	20	20	1		49536	99392				
