NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_shamomigong	1															\setting\map\map_info\yanzhou\trap\to_shamomigong.txt			
to_luhegu	1															\setting\map\map_info\yanzhou\trap\to_luhegu.txt			
沙漠迷宫入口	0	2525	4	5	1	1	20	20	20	20	20	1		61536	103392				
鹿合谷入口	0	2525	4	5	1	1	20	20	20	20	20	1		51168	112928				
萨纳嘎日布	0	10094	3	5	130	1	20	20	20	20	20	1		64992	107520		1		
杭盖	0	10095	3	5	130	1	20	20	20	20	20	1		65376	107840		1		
博特齐格	0	10096	3	5	130	1	20	20	20	20	20	1		65376	108480		1		
穆尔帖直	0	10097	3	5	130	1	20	20	20	20	20	1		64864	108480		1		
剌德布行	0	10098	3	5	130	1	20	20	20	20	20	1		64512	108192		1		
汉诸军	0	10099	0	5	125	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\yanzhou\npc\minions01.txt	1		
弓骑十夫长	0	10100	0	5	125	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\yanzhou\npc\minions02.txt	1		
铁甲弓骑	0	10101	0	5	125	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\yanzhou\npc\minions03.txt	1		
白池狼骑	0	10102	0	5	125	1	20	20	20	20	20	1				\setting\map\map_info\yanzhou\npc\task_defminions.txt	1		
图录哈差	0	10103	0	5	125	1	20	20	20	20	20	1				\setting\map\map_info\yanzhou\npc\task_boss.txt	1		
