NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
石轩辕	0	46	3	5	150	1	20	20	20	20	20	1		51968	101344		1		
崔出尘	0	47	0	5	35	1	20	20	20	20	20	1		52480	100928		1		1
丐帮弟子	0	1413	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\yanziwu_1_wyxz\npc\gaibangdizi.txt	1		
崆峒派门人	0	33	3	5	60	1	20	20	20	20	20	1		51008	101440		1		
青城派门人	0	34	3	5	60	1	20	20	20	20	20	1		51456	101088		1		
霹雳火雷家门人	0	35	3	5	60	1	20	20	20	20	20	1		51456	100576		1		
一品堂铁卫	0	178	3	5	60	1	20	20	20	20	20	1		51328	101376		1		
龙叫天	0	150	3	5	60	1	20	20	20	20	20	1		51744	100992		1		
绝尘子	0	151	3	5	60	1	20	20	20	20	20	1		51840	100448		1		
天龙门传人	0	191	3	5	60	1	20	20	20	20	20	1		52160	101824		1		
地堂刀头领	0	192	3	5	60	1	20	20	20	20	20	1		52064	102112		1		
相士	0	1491	3	5	60	1	20	20	20	20	20	1		51968	102400		1		
铁浮图高手	0	266	3	5	60	1	20	20	20	20	20	1		51744	102400		1		
了凡	0	405	3	5	60	1	20	20	20	20	20	1		52352	101632		1		
洛一夏	0	430	3	5	60	1	20	20	20	20	20	1		52544	102080		1		
崔剑	0	3591	3	5	60	1	20	20	20	20	20	1		52960	101792		1		
去祭奠礼场	0	2525	4	5	1	1	20	20	20	20	20	1		50656	102752		1		
wyxz2yanziwu	1															\setting\map\map_info\yanziwu_1_wyxz\trap\to_yanziwu.txt			
