NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
兽王猎手	0	2139	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\yaowangdong\npc\area1.txt	1		0
兽王巡游	0	2140	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\yaowangdong\npc\area2.txt	1		1
兽王猎手	0	2139	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\yaowangdong\npc\area3.txt	1		0
兽王祭司	0	2138	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\yaowangdong\npc\area4.txt	1		2
to_taihanggujing	1															\setting\map\map_info\yaowangdong\trap\to_taihanggujing.txt			
苦神雕像	0	1530	3	5	65	1	20	20	20	20	20	1		61888	105664		1		
太行古径入口	0	2525	4	5	65	1	20	20	20	20	20	1		61536	119584				
蒲察沙虎	0	3023	0	5	65	1	20	20	20	20	20	16		53728	125312				3
贺少雄	0	3024	0	5	65	1	20	20	20	20	20	16		52928	107264				2
胡一郎	0	3025	0	5	65	1	20	20	20	20	20	16		62240	106400				1
黄力豹	0	3026	0	5	65	1	20	20	20	20	20	16		60000	111200				0
