NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
小机关兽	0	2026	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\yueyanglou\npc\area1.txt	1		
劣质机关人	0	2025	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\yueyanglou\npc\area2.txt	1		0
义军叛徒	0	2204	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\yueyanglou\npc\area3.txt	1		5
强贼	0	2203	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\yueyanglou\npc\area4.txt	1		0
蒙古武士	0	3586	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\yueyanglou\npc\area5.txt	1		3
西夏武士	0	3587	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\yueyanglou\npc\area6.txt	1		0
金国武士	0	3588	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\yueyanglou\npc\area7.txt	1		1
南宋武士	0	3589	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\yueyanglou\npc\area8.txt	1		0
to_balingxian	1															\setting\map\map_info\yueyanglou\trap\to_balingxian.txt			
巴陵县入口	0	2525	4	5	1	1	20	20	20	20	20	1		51392	122656				
白疆	0	3585	3	5	60	1	20	20	20	20	20	1		60032	105376		1		0
高升	0	3590	3	5	60	1	20	20	20	20	20	1		59808	105632		1		
崔剑	0	3591	3	5	60	1	20	20	20	20	20	1		60192	105664		1		
界山宗	0	3584	3	5	60	1	20	20	20	20	20	1		51968	103328		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		59904	104640		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		60544	105504		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		59904	106176		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		59328	105792		1		
义军叛徒寻路点	0	2615	5	5	1	1	20	20	20	20	20	1		52736	118848		1		
义军叛徒2寻路点	0	2616	5	5	1	1	20	20	20	20	20	1		53376	115424		1		
强贼寻路点	0	2617	5	5	1	1	20	20	20	20	20	1		53120	107904		1		
劣质机关人寻路点	0	2618	5	5	1	1	20	20	20	20	20	1		58752	113184		1		
小机关兽寻路点	0	2619	5	5	1	1	20	20	20	20	20	1		58272	108160		1		
蒙古武士寻路点	0	2620	5	5	1	1	20	20	20	20	20	1		63680	104096		1		
西夏武士寻路点	0	2621	5	5	1	1	20	20	20	20	20	1		64032	106848		1		
金国武士寻路点	0	2622	5	5	1	1	20	20	20	20	20	1		58496	106528		1		
南宋武士寻找路点	0	2623	5	5	1	1	20	20	20	20	20	1		62176	104672		1		
义军叛徒新增寻路点1	0	3651	5	5	1	1	20	20	20	20	20	1		50944	113536		1		
义军叛徒新增寻路点2	0	3652	5	5	1	1	20	20	20	20	20	1		52992	114432		1		
义军叛徒新增寻路点3	0	3653	5	5	1	1	20	20	20	20	20	1		55616	114176		1		
强贼寻路点2	0	4678	5	5	1	1	20	20	20	20	20	1		56416	110368		1		
强贼寻路点3	0	4679	5	5	1	1	20	20	20	20	20	1		55584	102400		1		
