NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
houying1_daying1	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\houying1_daying1.txt			
houying1_qianying1	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\houying1_qianying1.txt			
daying1_houying1	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\daying1_houying1.txt			
qianying1_houying1	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\qianying1_houying1.txt			
daying1_yewai	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\daying1_yewai.txt			
qianying1_yewai	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\qianying1_yewai.txt			
houying3_daying3	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\houying3_daying3.txt			
houying3_qianying3	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\houying3_qianying3.txt			
daying3_houying3	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\daying3_houying3.txt			
qianying3_houying3	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\qianying3_houying3.txt			
daying3_yewai	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\daying3_yewai.txt			
qianying3_yewai	1															\setting\map\map_info\zhanchang_xiagu_yangzhou\trap\qianying3_yewai.txt			
大营入口	0	2525	4	5	99	1	20	20	20	20	20	1		77024	108864				
大营入口	0	2525	4	5	99	1	20	20	20	20	20	1		58560	129888				
后营入口	0	2525	4	5	99	1	20	20	20	20	20	1		72224	106816				
后营入口	0	2525	4	5	99	1	20	20	20	20	20	1		76416	110176				
后营入口	0	2525	4	5	99	1	20	20	20	20	20	1		59232	128416				
后营入口	0	2525	4	5	99	1	20	20	20	20	20	1		62592	132608				
大营入口	0	2525	4	5	99	1	20	20	20	20	20	1		77312	107104				
大营入口	0	2525	4	5	99	1	20	20	20	20	20	1		58944	131776				
老兵的战枪	0	1623	3	5	1	1	20	20	20	20	20	1		66368	119520		1		
战场商会接头人	0	2962	3	5	1	1	20	20	20	20	20	1		69568	121152		1		
