MapName	MapId	MapType	Sect1	Sect2	Sect3	Sect4
扬州府	26	city	1514:3123	1472:3286	1642:3338	1641:3129
襄阳府	25	city	1726:3245	1542:3215	1530:2982	1739:3037
临安府	29	city	1718:4090	1533:4122	1755:3825	
凤翔府	24	city	1954:3571	1700:3578	1669:3369	1919:3367
大理府	28	city	1602:3359	1439:3366	1427:3257	1621:3192
成都府	27	city	1666:3260	1572:3331	1541:3148	1665:3139
汴京府	23	city	1648:3185	1486:3179	1502:3025	1570:2956
云中镇	1	country	1549:3249	1398:3017		
永乐镇	3	country	1693:3288	1594:3155	1779:3171	
石鼓镇	6	country	1704:3010	1528:3285		
龙泉村	7	country	1605:3345	1481:3305		
龙门镇	2	country	1688:3373	1689:3614		
江津村	5	country	1629:3164	1579:3032		
稻香村	4	country	1625:3318	1559:3152		
巴陵县	8	country	1642:3265	1769:3487		
