Id	Map	ClassName	MapId	Msg	Option1	Option2	Option3	Option4	Option5	Option6	Option7	Option8	Option9	Option10	Option11	Option12
1	云中镇	bingqipulaoban	1	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""刀"",""Dialog:OpenShop"",3,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""枪"",""Dialog:OpenShop"",5,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""					
2	龙门镇	bingqipulaoban	2	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""剑"",""Dialog:OpenShop"",2,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
3	永乐镇	bingqipulaoban	3	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""剑"",""Dialog:OpenShop"",2,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""				
4	稻香村	bingqipulaoban	4	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
5	江津村	bingqipulaoban	5	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""剑"",""Dialog:OpenShop"",2,1"	"""飞刀"",""Dialog:OpenShop"",8,1"	"""袖箭"",""Dialog:OpenShop"",9,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""				
6	石鼓镇	bingqipulaoban	6	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""剑"",""Dialog:OpenShop"",2,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
7	龙泉村	bingqipulaoban	7	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
8	巴陵县	bingqipulaoban	8	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""刀"",""Dialog:OpenShop"",3,1"	"""枪"",""Dialog:OpenShop"",5,1"	"""锤"",""Dialog:OpenShop"",6,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""					
9	少林派	bingqipulaoban	9	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""刀"",""Dialog:OpenShop"",3,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
10	天忍教	bingqipulaoban	10	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""刀"",""Dialog:OpenShop"",3,1"	"""枪"",""Dialog:OpenShop"",5,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
