Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
	150					250000		
		1	1	1	1	10000		粗布缠手
		1	1	2	1	10000		铜剑
		1	1	3	1	10000		单刀
		1	1	4	1	10000		重木棍
		1	1	5	1	10000		长枪
		1	1	6	1	10000		战锤
		1	2	2	1	5000		飞刀
		1	2	3	1	5000		袖里箭
		1	3	2	1	20000		轻甲
		1	3	3	1	20000		轻皮装
		1	3	4	1	20000		粗布长袍
		1	3	6	1	10000		铜女甲
		1	3	7	1	10000		轻皮甲衣
		1	3	8	1	10000		锦衫
		1	4	1	1	60000		铜指环
		1	5	1	1	60000		铜项链
		1	8	1	1	60000		粗麻腰带
		1	8	2	1	30000		青布腰带
		1	10	1	1	60000		铜护腕
		1	10	2	1	30000		手镯
		18	1	114	1	180000		1级玄晶
		18	1	114	2	50000		2级玄晶
		18	1	114	3	10000		3级玄晶
		18	1	80	1	40000		福袋
