Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
	60					50000		
		1	3	2	2	1500		锁子甲
		1	3	3	2	1500		刺客装
		1	3	4	2	1500		逸侠装
		1	3	6	2	800		白茸甲
		1	3	7	2	800		灵运装
		1	3	8	2	800		绮丽衫
		1	4	1	2	3000		侠少之戒
		1	6	1	2	3000		玲珑符
		1	7	1	2	5000		乌革靴
		1	7	2	2	2500		金齿靴
		1	8	1	2	5000		缀甲腰带
		1	8	2	2	2500		仕女腰带
		1	9	2	2	1500		精铁束发
		1	9	3	2	1500		满月笠
		1	9	4	2	1500		逍遥巾
		1	9	6	2	800		绿蝶玉带
		1	9	7	2	800		绿玉发带
		1	9	8	2	800		银铃钗
		1	11	1	2	2000		荷叶佩
		1	11	2	2	1000		茉莉香囊
		18	1	114	1	12000		1级玄晶
		18	1	114	2	2000		2级玄晶
		18	1	114	3	100		3级玄晶
		18	1	80	1	1600		福袋
