Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
	375					250000		
		1	1	1	3	5000		拳宗缠手
		1	1	2	3	5000		七尺剑
		1	1	3	3	5000		斩马刀
		1	1	4	3	5000		四平棍
		1	1	5	3	5000		点钢枪
		1	1	6	3	5000		五星锤
		1	2	2	3	2500		破风刀
		1	2	3	3	2500		飞鸿箭
		1	3	2	3	15000		两裆铠
		1	3	3	3	15000		渔忍装
		1	3	4	3	15000		青霜袍
		1	3	6	3	7500		武炼甲
		1	3	7	3	7500		紫劲装
		1	3	8	3	7500		心印衫
		1	5	1	3	45000		冰晶项链
		1	6	1	3	45000		百锦符
		1	8	1	3	45000		青兽腰带
		1	8	2	3	22500		盘花腰带
		1	9	2	3	15000		双面盔
		1	9	3	3	15000		玄纱巾
		1	9	4	3	15000		金风冠
		1	9	6	3	7500		翡翠簪
		1	9	7	3	7500		辟水发带
		1	9	8	3	7500		兽骨钗
		1	10	1	3	45000		棘墙护腕
		1	10	2	3	22500		玲珑手镯
		1	11	1	3	30000		鹿纹佩
		1	11	2	3	15000		乳香香囊
		18	1	114	2	194000		2级玄晶
		18	1	114	3	50000		3级玄晶
		18	1	114	4	15000		4级玄晶
		18	1	114	5	1000		5级玄晶
		18	1	80	1	40000		福袋
