Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	6	159375		6级玄晶（不绑定）
		18	1	1	7	31875		7级玄晶（不绑定）
		18	1	1	8	6375		8级玄晶（不绑定）
		18	1	1	9	1275		9级玄晶（不绑定）
		22	1	113	1	38469		龙魂鉴碎片·戒指（1级）
		22	1	112	1	67320		龙魂鉴碎片·衣服（1级）
		22	1	114	1	86555		龙魂鉴碎片·护身符（1级）
		22	1	113	2	23673		龙魂鉴碎片·戒指（2级）
		22	1	112	2	41428		龙魂鉴碎片·衣服（2级）
		22	1	114	2	53264		龙魂鉴碎片·护身符（2级）
		22	1	113	3	17754		龙魂鉴碎片·戒指（3级）
		22	1	112	3	31071		龙魂鉴碎片·衣服（3级）
		22	1	114	3	39948		龙魂鉴碎片·护身符（3级）
		18	1	1675	1	80000		赤夜飞翎（赤夜天翔坐骑碎片）
