Index	nTreasure	nNum	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name	Money	BindMoney
1	5	1	18	1	1	3	250000		3级玄晶		
1	5	1	18	1	1	4	250000		4级玄晶		
1	5	1	18	1	1	5	200000		5级玄晶		
1	5	1	18	1	1	6	150000		6级玄晶		
1	5	1	18	1	1	7	100000		7级玄晶		
1	5	1	18	1	1	8	50000		8级玄晶		
2	2	1	2	1	867	6	80000		刀昆烈焰刀（6级橙装PvP）		
2	2	1	2	1	507	6	80000		刀昆烈焰刀（6级紫装PvP）		
2	2	1	2	1	866	5	80000		刀昆月牙刀（5级橙装PvP）		
2	2	1	2	1	506	5	80000		刀昆月牙刀（5级紫装PvP）		
2	2	1	2	1	896	5	80000		剑昆龙泉剑（5级橙装PvP）		
2	2	1	2	1	536	5	120000		剑昆龙泉剑（5级紫装PvP）		
2	2	1	2	1	897	6	120000		剑昆万仞剑（6级橙装PvP）		
2	2	1	2	1	537	6	120000		剑昆万仞剑（6级紫装PvP）		
2	2	1	2	1	876	5	120000		剑武龙泉剑（5级橙装PvP）		
2	2	1	2	1	516	5	120000		剑武龙泉剑（5级紫装PvP）		
3	5						300000		钱1	20000	
3	5						200000		钱2	50000	
3	5						100000		钱3		80000
4	3	10	18	1	357	1	200000		秦陵·夜明珠		
4	3	20	18	1	357	1	200000		秦陵·夜明珠		
4	3	30	18	1	357	1	200000		秦陵·夜明珠		
4	3	40	18	1	357	1	200000		秦陵·夜明珠		
4	3	50	18	1	357	1	200000		秦陵·夜明珠		
