Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	403900		3级玄晶
		18	1	1	4	200000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	1	508	7	2490		刀昆7级紫刀(PvsP）
		2	1	509	8	1426		刀昆8级紫刀(PvsP）
		2	1	518	7	2490		剑武7级紫剑(PvsP）
		2	1	519	8	1427		剑武8级紫剑(PvsP）
		2	1	528	7	2490		气武7级紫剑(PvsP）
		2	1	529	8	1427		气武8级紫剑(PvsP）
		2	1	538	7	2490		剑昆7级紫剑(PvsP）
		2	1	539	8	1427		剑昆8级紫剑(PvsP）
		2	1	868	7	166		刀昆7级橙刀(PvsP）
		2	1	869	8	83		刀昆8级橙刀(PvsP）
		2	1	878	7	167		剑武7级橙剑(PvsP）
		2	1	879	8	83		剑武8级橙剑(PvsP）
		2	1	888	7	167		气武7级橙剑(PvsP）
		2	1	889	8	83		气武8级橙剑(PvsP）
		2	1	898	7	167		剑昆7级橙剑(PvsP）
		2	1	899	8	83		剑昆8级橙剑(PvsP）
7500						30000		金钱7500
750						280000		金钱750
		2	1	1493	7	2490		剑古墓7级紫剑(PvsP）
		2	1	1494	8	1427		剑古墓8级紫剑(PvsP）
		2	2	191	7	2490		针古墓7级紫袖箭(PvsP）
		2	2	192	8	1427		针古墓8级紫袖箭(PvsP）
		2	1	1513	7	167		剑古墓7级橙剑(PvsP）
		2	1	1514	8	83		剑古墓8级橙剑(PvsP）
		2	2	211	7	167		针古墓7级橙袖箭(PvsP）
		2	2	212	8	83		针古墓8级橙袖箭(PvsP）
