Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		2	9	409	9	500		紫装PVP_棍少、天王异神盔
		2	9	410	10	240		紫装PVP_棍少、天王吞龙盔
		2	9	419	9	250		紫装PVP_棍少、天王龙鳞盔
		2	9	420	10	120		紫装PVP_棍少、天王凤眠盔
		2	9	429	9	500		紫装PVP_刀少青煞发冠
		2	9	430	10	240		紫装PVP_刀少山鬼发冠
		2	9	439	9	250		紫装PVP_刀少赤豚面罩
		2	9	440	10	120		紫装PVP_刀少貂皮面罩
		2	9	449	9	500		紫装PVP_刀毒、唐门、明教青煞发冠
		2	9	450	10	240		紫装PVP_刀毒、唐门、明教山鬼发冠
		2	9	459	9	250		紫装PVP_刀毒、唐门、明教赤豚面罩
		2	9	460	10	120		紫装PVP_刀毒、唐门、明教貂皮面罩
		2	9	469	9	500		紫装PVP_掌毒绝玉束额
		2	9	470	10	240		紫装PVP_掌毒紫金束额
		2	9	479	9	250		紫装PVP_掌毒朱雀发结
		2	9	480	10	120		紫装PVP_掌毒冥蝶发结
		2	9	489	9	500		紫装PVP_指段异神盔
		2	9	490	10	240		紫装PVP_指段吞龙盔
		2	9	499	9	250		紫装PVP_指段龙鳞盔
		2	9	500	10	120		紫装PVP_指段凤眠盔
		2	9	509	9	500		紫装PVP_气段、翠烟、峨嵋绝玉束额
		2	9	510	10	240		紫装PVP_气段、翠烟、峨嵋紫金束额
		2	9	519	9	250		紫装PVP_气段、翠烟、峨嵋朱雀发结
		2	9	520	10	120		紫装PVP_气段、翠烟、峨嵋冥蝶发结
		2	9	529	9	500		紫装PVP_战忍异神盔
		2	9	530	10	240		紫装PVP_战忍吞龙盔
		2	9	539	9	250		紫装PVP_战忍龙鳞盔
		2	9	540	10	120		紫装PVP_战忍凤眠盔
		2	9	549	9	500		紫装PVP_魔忍、丐帮青煞发冠
		2	9	550	10	240		紫装PVP_魔忍、丐帮山鬼发冠
		2	9	559	9	250		紫装PVP_魔忍、丐帮赤豚面罩
		2	9	560	10	120		紫装PVP_魔忍、丐帮貂皮面罩
		2	9	569	9	500		紫装PVP_剑武异神盔
		2	9	570	10	240		紫装PVP_剑武吞龙盔
		2	9	579	9	250		紫装PVP_剑武龙鳞盔
		2	9	580	10	120		紫装PVP_剑武凤眠盔
		2	9	589	9	500		紫装PVP_气武、昆仑绝玉束额
		2	9	590	10	240		紫装PVP_气武、昆仑紫金束额
		2	9	599	9	250		紫装PVP_气武、昆仑朱雀发结
		2	9	600	10	120		紫装PVP_气武、昆仑冥蝶发结
		2	9	809	9	100		橙装PVP_棍少、天王异神盔
		2	9	810	10	50		橙装PVP_棍少、天王吞龙盔
		2	9	819	9	50		橙装PVP_棍少、天王龙鳞盔
		2	9	820	10	25		橙装PVP_棍少、天王凤眠盔
		2	9	829	9	100		橙装PVP_刀少青煞发冠
		2	9	830	10	50		橙装PVP_刀少山鬼发冠
		2	9	839	9	50		橙装PVP_刀少赤豚面罩
		2	9	840	10	25		橙装PVP_刀少貂皮面罩
		2	9	849	9	100		橙装PVP_刀毒、唐门、明教青煞发冠
		2	9	850	10	50		橙装PVP_刀毒、唐门、明教山鬼发冠
		2	9	859	9	50		橙装PVP_刀毒、唐门、明教赤豚面罩
		2	9	860	10	25		橙装PVP_刀毒、唐门、明教貂皮面罩
		2	9	869	9	100		橙装PVP_掌毒绝玉束额
		2	9	870	10	50		橙装PVP_掌毒紫金束额
		2	9	879	9	50		橙装PVP_掌毒朱雀发结
		2	9	880	10	25		橙装PVP_掌毒冥蝶发结
		2	9	889	9	100		橙装PVP_指段异神盔
		2	9	890	10	50		橙装PVP_指段吞龙盔
		2	9	899	9	50		橙装PVP_指段龙鳞盔
		2	9	900	10	25		橙装PVP_指段凤眠盔
		2	9	909	9	100		橙装PVP_气段、翠烟、峨嵋绝玉束额
		2	9	910	10	50		橙装PVP_气段、翠烟、峨嵋紫金束额
		2	9	919	9	50		橙装PVP_气段、翠烟、峨嵋朱雀发结
		2	9	920	10	25		橙装PVP_气段、翠烟、峨嵋冥蝶发结
		2	9	929	9	100		橙装PVP_战忍异神盔
		2	9	930	10	50		橙装PVP_战忍吞龙盔
		2	9	939	9	50		橙装PVP_战忍龙鳞盔
		2	9	940	10	25		橙装PVP_战忍凤眠盔
		2	9	949	9	100		橙装PVP_魔忍、丐帮青煞发冠
		2	9	950	10	50		橙装PVP_魔忍、丐帮山鬼发冠
		2	9	959	9	50		橙装PVP_魔忍、丐帮赤豚面罩
		2	9	960	10	25		橙装PVP_魔忍、丐帮貂皮面罩
		2	9	969	9	100		橙装PVP_剑武异神盔
		2	9	970	10	50		橙装PVP_剑武吞龙盔
		2	9	979	9	50		橙装PVP_剑武龙鳞盔
		2	9	980	10	25		橙装PVP_剑武凤眠盔
		2	9	989	9	100		橙装PVP_气武、昆仑绝玉束额
		2	9	990	10	50		橙装PVP_气武、昆仑紫金束额
		2	9	999	9	50		橙装PVP_气武、昆仑朱雀发结
		2	9	1000	10	25		橙装PVP_气武、昆仑冥蝶发结
		18	1	114	3	436883		3级玄晶
		18	1	114	4	300000		4级玄晶
		18	1	114	5	150000		5级玄晶
		18	1	114	6	12000		6级玄晶
		18	1	114	7	1000		7级玄晶
		18	1	114	8	100		8级玄晶
		1	13	6	1	10000		面具 - 醉僧
