Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	433700		3级玄晶
		18	1	1	4	100000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	1	727	6	1200		刀少烈焰刀（6级橙装PvsP）
		2	1	367	6	3400		刀少烈焰刀（6级紫装PvsP）
		2	1	726	5	2400		刀少月牙刀（5级橙装PvsP）
		2	1	366	5	6800		刀少月牙刀（5级紫装PvsP）
		2	1	736	5	2400		棍少分水棍（5级橙装PvsP）
		2	1	376	5	6800		棍少分水棍（5级紫装PvsP）
		2	1	737	6	1200		棍少虎尾棍（6级橙装PvsP）
		2	1	377	6	3400		棍少虎尾棍（6级紫装PvsP）
500						300000		金钱500
5000						50000		金钱5000
		2	1	856	5	2400		魔忍龙泉剑（5级橙装PvsP）
		2	1	496	5	6800		魔忍龙泉剑（5级紫装PvsP）
		2	1	857	6	1200		魔忍万仞剑（6级橙装PvsP）
		2	1	497	6	3400		魔忍万仞剑（6级紫装PvsP）
		2	1	837	6	1200		战忍豹尾枪（6级橙装PvsP）
		2	1	477	6	3400		战忍豹尾枪（6级紫装PvsP）
		2	1	836	5	2400		战忍金钩枪（5级橙装PvsP）
		2	1	476	5	6800		战忍金钩枪（5级紫装PvsP）
