Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	431700		3级玄晶
		18	1	1	4	100000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	1	987	6	1200		锤明狼牙锤（6级橙装PvsP）
		2	1	947	6	3852		锤明狼牙锤（6级紫装PvsP）
		2	1	986	5	2400		锤明霹雳锤（5级橙装PvsP）
		2	1	946	5	6848		锤明霹雳锤（5级紫装PvsP）
		2	1	826	5	2400		棍丐分水棍（5级橙装PvsP）
		2	1	466	5	6848		棍丐分水棍（5级紫装PvsP）
		2	1	827	6	1200		棍丐虎尾棍（6级橙装PvsP）
		2	1	467	6	3852		棍丐虎尾棍（6级紫装PvsP）
		2	1	996	5	2400		剑明龙泉剑（5级橙装PvsP）
		2	1	956	5	6848		剑明龙泉剑（5级紫装PvsP）
		2	1	997	6	1200		剑明万仞剑（6级橙装PvsP）
		2	1	957	6	3852		剑明万仞剑（6级紫装PvsP）
500						300000		金钱500
5000						50000		金钱5000
		2	1	846	5	2400		掌丐穿云缠手（5级橙装PvsP）
		2	1	486	5	6848		掌丐穿云缠手（5级紫装PvsP）
		2	1	847	6	1200		掌丐含光缠手（6级橙装PvsP）
		2	1	487	6	3852		掌丐含光缠手（6级紫装PvsP）
