Type	Desc	LevelRequire	CalRate	RateOf2Skills	RateOf3Skills	RateOf4Skills	RateOf5Skills	RateOf6Skills	RateOf7Skills	RateOf8Skills	RateOf9Skills	RateOf10Skills	bichuSkill1Id	bichuSkill2Id	bichuSkill3Id	RandomSkillTemplateId
1	1档	100	0.3	89	10	1	0	0	0	0	0	0	0	0	0	1
2	2档	120	0.4	88	10	2	0	0	0	0	0	0	0	0	0	0
3	3档	140	0.5	86	10	3	1	0	0	0	0	0	0	0	0	0
4	4档	100	0.4	56	30	10	3	1	0	0	0	0	0	0	0	2
5	5档	110	0.6	56	30	10	3	1	0	0	0	0	0	0	0	0
6	6档	120	0.8	0	58	30	10	2	0	0	0	0	0	0	0	0
7	7档	140	1	0	58	30	10	2	0	0	0	0	0	0	0	0
8	4档促销	100	0.4	0	0	100	0	0	0	0	0	0	0	0	0	8
9	8档	150	1	100	0	0	0	0	0	0	0	0	0	0	0	0
10	4档(新年活动)	100	0.4	0	0	0	0	100	0	0	0	0	0	0	0	2
11	4档(VIP同伴)	100	0.4	0	0	0	0	100	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
12	4档促销(盛大)	100	0.4	0	0	100	0	0	0	0	0	0	{1497,1498,1499,1500,1501}	{1517,1518,1519,1520,1521}	0	9
13	4档(端午)	100	0.4	0	0	0	100	0	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
14	4档(端午2)	100	0.4	0	0	100	0	0	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
15	4档	100	0.4	0	0	0	0	100	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	1511	10
16	4档(寒武活动)	100	0.4	0	0	100	0	0	0	0	0	0	{2213,2214,2215,2216,2217}	{1517,1518,1519,1520,1521}	0	11
17	8档(年度VIP)	100	0.8	0	0	0	0	0	100	0	0	0	0	0	0	12
