TotalFile:5302	PakTime:2012-12-17 22:0:18	PakTimeSave:50cf2572	CRC:56714245
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
0	6a54a	2007-10-16 16:4:12	\setting\map\map_info\tianlongsi\trap\to_shanzhaishinei1.txt	181	84	4	466a4c87
1	8903c	2008-3-18 9:17:29	\setting\map\map_info\kunlunpai\trap\to_longmenzhen.txt	143	76	4	4a6c9bba
2	49beb6	2008-8-21 11:28:16	\setting\map\map_info\jianjudong\trap\to_shugangmijing.txt	143	81	4	fce64831
3	5b3f8d	2011-3-31 13:33:9	\setting\npc\droprate\xoyogame\xoyogame_lv7_boss.txt	393	205	4	228a6060
4	5d6c8f	2010-9-17 14:18:48	\setting\npc\droprate\gaojidadao\95boss_shui.txt	915	310	4	66d0ff76
5	5f99a3	2012-11-2 13:2:30	\setting\map\map_info\qingluodao\info.txt	7515	1982	4	8d4458e5
6	68b725	2012-12-12 15:44:14	\setting\task\treasuremapex\mapinfo\taozhugongyizhong\npc\sancengxiaoguai.txt	78	68	4	e68ac82a
7	7a9ccc	2009-3-13 9:43:38	\setting\npc\droprate\domainbattle\jiangling.txt	259	165	4	25a44494
8	b508a3	2008-3-24 17:37:55	\setting\map\map_info\jianxingfeng\npc\kunlundizi.txt	321	193	4	f4c07363
9	c7445b	2010-9-30 16:24:1	\setting\mission\gbwlls\league_award\award_session_4_lv2.txt	1499	479	4	5ae3af95
10	cc4ae3	2010-9-17 14:18:48	\setting\map\map_info\xueluomenshan2\trap\to_afanggongfeixu2.txt	363	130	4	e6b5f4ca
11	cf8cae	2009-1-4 9:55:34	\setting\map\map_info\longhuhuanjing_1_tycjs1\info.txt	470	319	4	19791e3c
12	e80def	2010-9-17 14:18:47	\setting\map\map_info\fuliudong\trap\to_fenmingtangchen1.txt	363	135	4	ed27afbb
13	e8faa6	2007-8-23 18:59:57	\setting\map\map_info\shugangshan\npc\area3.txt	2757	1192	4	b1f829e3
14	f6b1f1	2009-1-4 10:0:58	\setting\map\map_info\tiesuozhanqiao_dali\info.txt	473	267	4	6f19ed90
15	fb22d6	2008-5-24 15:14:53	\setting\map\map_info\qingluodao_cang3\trap\to_2ceng.txt	125	66	4	2270e23c
16	10d0bb8	2011-3-25 10:45:35	\setting\boss\task80to90\7318.ini	496	233	4	934f7cf3
17	10edabd	2012-5-18 12:29:30	\setting\event\youlongmibao\youlongmibao_rate.txt	2698	971	4	c45ffbec
