Name	Genre	DetailType	ParticularType	Level	Bind	SellBindMoney
仙灵原木	22	1	35	1		2000
灵兽毛皮	22	1	37	1		2000
灵兽血	22	1	39	1		2000
紫晶原石	22	1	41	1		2000
仙灵果	22	1	43	1		2000
商会令牌（逍遥谷2级令牌）	18	1	289	10		1000
商会令牌（逍遥谷3级令牌）	18	1	289	9		2000
商会令牌（逍遥谷4级令牌）	18	1	289	8		3000
商会令牌（逍遥谷5级令牌）	18	1	289	7		5000
【击杀卡】狼王	18	1	313	1		2000
【击杀卡】熊王	18	1	313	2		1500
【击杀卡】虎王	18	1	313	3		1500
【击杀卡】巨鳄	18	1	313	4		2000
【击杀卡】猴王	18	1	313	5		3500
【击杀卡】马王	18	1	313	6		1500
【击杀卡】异兽	18	1	313	7		2000
【击杀卡】煞大目	18	1	313	8		3000
【击杀卡】幽冥鬼王	18	1	313	9		2500
【击杀卡】魏军统领	18	1	313	10		4000
【击杀卡】吴军统领	18	1	313	11		4000
【击杀卡】监军	18	1	313	12		4000
【击杀卡】紫苑	18	1	313	13		3500
【击杀卡】秦仲	18	1	313	14		3500
【击杀卡】任淼	18	1	313	15		4000
【击杀卡】萧不实	18	1	313	16		4500
【击杀卡】木超	18	1	313	17		3000
【击杀卡】夏小倩	18	1	313	18		3500
【击杀卡】胡坤	18	1	313	19		4500
【击杀卡】墨君	18	1	313	20		5000
【击杀卡】唐羽	18	1	313	21		5000
【击杀卡】胡乾	18	1	313	22		3500
【击杀卡】叶静	18	1	313	23		5000
【宝物卡】血影枪	18	1	313	24		4500
【宝物卡】灵兽战靴	18	1	313	25		4500
【宝物卡】遁甲灵符	18	1	313	26		4500
【宝物卡】紫晶幻佩	18	1	313	27		4500
【宝物卡】七彩仙丹	18	1	313	28		4500
【秘宝卡】邪灵	18	1	313	29		5000
【秘宝卡】圣痕	18	1	313	30		5000
【秘宝卡】冰莲	18	1	313	31		5000
【闯关卡】智勇双全	18	1	313	32		3000
【闯关卡】蛇窝脱险	18	1	313	33		3000
【闯关卡】助人为乐	18	1	313	34		3000
【闯关卡】后生可畏	18	1	313	35		4000
【闯关卡】逃脱大师	18	1	313	36		5000
【击杀卡】机关斧手	18	1	313	37		2000
【击杀卡】叛军统领	18	1	313	38		2500
【击杀卡】果农	18	1	313	39		2000
【击杀卡】机关巨狼	18	1	313	40		3500
【击杀卡】强盗头领	18	1	313	41		4000
【击杀卡】旺财	18	1	313	42		2500
【秘宝卡】怨灵	18	1	313	43		5000
【秘宝卡】雪晶石	18	1	313	44		5000
【闯关卡】此地无银	18	1	313	45		3000
【闯关卡】护花使者	18	1	313	46		2500
【闯关卡】杀出重围	18	1	313	47		3000
【闯关卡】猴口夺食	18	1	313	48		3000
【击杀卡】张德恒	18	1	313	49		3000
【闯关卡】技高一筹	18	1	313	50		2500
【闯关卡】童心未泯	18	1	313	51		3000
【闯关卡】勇冠三军	18	1	313	52		3000
【特殊卡】变幻	18	1	314	1		5000
【闯关卡】重振军威	18	1	313	53		3000
【闯关卡】死里逃生	18	1	313	54		6000
【击杀卡】宝玉	18	1	313	55		5000
【击杀卡】莺莺	18	1	313	56		4000
【击杀卡】火蓬春	18	1	313	57		6000
【击杀卡】风雪晴	18	1	313	58		6000
【击杀卡】慕容素	18	1	313	59		6000
【击杀卡】谢无忌	18	1	313	60		6000
【击杀卡】银花婆婆	18	1	313	61		7000
【击杀卡】喜多多	18	1	313	62		6000
【击杀卡】韩丹	18	1	313	63		6000
【击杀卡】郑雨华	18	1	313	64		7000
【击杀卡】叶璇	18	1	313	65		7000
【闯关卡】浴火重生	18	1	313	66		7000
【击杀卡】独孤剑	18	1	313	67		8000
