szName	nGenre	nDetailType	nParticular	nLevel	nBuyPrice	bCanBind
秘境地图	18	1	251	1	200	
五行魂石	18	1	205	1	2	
修炼丹	18	1	258	1	900	
义军补给包	18	1	341	1	16	
霸主之印	18	1	379	1	48	
秦陵·长明灯	18	1	360	1	48	
秦陵·搬山印	18	1	363	1	48	
秦陵·摸金符	18	1	366	1	48	
秦陵·和氏璧	18	1	377	1	2400	
玉笛谁家听落梅（周）	19	3	1	6	200	
玉笛谁家听落梅（月）	19	3	1	7	800	
血影枪	18	1	200	1	25.6	
灵兽战靴	18	1	201	1	25.6	
遁甲灵符	18	1	202	1	25.6	
紫晶幻佩	18	1	203	1	25.6	
七彩仙丹	18	1	204	1	25.6	
雪花	18	1	213	1	6.4	
百步穿杨弓	18	1	263	1	25.6	
刑天战袍	18	1	264	1	25.6	
行军符咒	18	1	265	1	25.6	
游子护身符	18	1	266	1	25.6	
千里止渴丹	18	1	267	1	25.6	
战书·游龙密室	18	1	524	1	107	
镶边帛帖（1级）	18	1	541	5	107	1
穿珠银帖（2级）	18	1	541	2	535	1
普通的精魄（1级）	18	1	544	5	107	1
特别的精魄（2级）	18	1	544	2	1070	1
奇妙的精魄（3级）	18	1	544	3	10700	1
神奇的精魄（4级）	18	1	544	4	107000	
菩提果	18	1	564	1	5350	
同伴推荐信	18	1	566	1	107	
情花	18	1	597	1	50	
寒武魂珠	18	1	510	1	107	
小葫芦	18	1	1728	1	9	
