TaskId	TaskName	TaskType	Value1	Value2	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
任务编号	任务名	任务类型	价值量1	价值量2	大类	分类	细类	等级	五行	数量	物品名	后缀名	等级1	等级2	等级3	等级4	等级5	等级6	等级7	等级8	等级9	等级10	等级11
40001	购买1级水剑	SearchItemWithDesc	0	375	1	1	2	1	3	2	1级水剑		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40002	购买1级火剑	SearchItemWithDesc	0	375	1	1	2	1	4	2	1级火剑		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40003	购买1级土剑	SearchItemWithDesc	0	375	1	1	2	1	5	2	1级土剑		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40004	购买1级金刀	SearchItemWithDesc	0	375	1	1	3	1	1	2	1级金刀		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40005	购买1级木刀	SearchItemWithDesc	0	375	1	1	3	1	2	2	1级木刀		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40006	购买1级水刀	SearchItemWithDesc	0	375	1	1	3	1	3	2	1级水刀		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40007	购买1级土刀	SearchItemWithDesc	0	375	1	1	3	1	5	2	1级土刀		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40008	购买1级金棍	SearchItemWithDesc	0	375	1	1	4	1	1	2	1级金棍		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40009	购买1级火棍	SearchItemWithDesc	0	375	1	1	4	1	4	2	1级火棍		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40010	购买1级金枪	SearchItemWithDesc	0	375	1	1	5	1	1	2	1级金枪		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40011	购买1级火枪	SearchItemWithDesc	0	375	1	1	5	1	4	2	1级火枪		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40012	购买1级金锤	SearchItemWithDesc	0	375	1	1	6	1	1	2	1级金锤		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40013	购买1级金缠手	SearchItemWithDesc	0	375	1	1	1	1	1	2	1级金缠手		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40014	购买1级水缠手	SearchItemWithDesc	0	375	1	1	1	1	3	2	1级水缠手		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40015	购买1级火缠手	SearchItemWithDesc	0	375	1	1	1	1	4	2	1级火缠手		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40016	购买1级木飞镖	SearchItemWithDesc	0	375	1	2	1	1	2	2	1级木飞镖		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40017	购买1级木飞刀	SearchItemWithDesc	0	375	1	2	2	1	2	2	1级木飞刀		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40018	购买1级木袖箭	SearchItemWithDesc	0	375	1	2	3	1	2	2	1级木袖箭		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
