TaskId	TaskName	TaskType	Value1	Value2	Series	Num	ItemName	Suffix	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
任务编号	任务名	任务类型	价值量1	价值量2	五行	数量	物品名	后缀名	等级1	等级2	等级3	等级4	等级5	等级6	等级7	等级8	等级9	等级10	等级11
30001	收集1件轻甲·煌光	SearchItemBySuffix	70	750	0	1	轻甲	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30002	收集1件铜女甲·煌光	SearchItemBySuffix	70	750	0	1	铜女甲	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30003	收集1件轻皮装·煌光	SearchItemBySuffix	70	750	0	1	轻皮装	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30004	收集1件轻皮甲衣·煌光	SearchItemBySuffix	70	750	0	1	轻皮甲衣	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30005	收集1件粗布长袍·煌光	SearchItemBySuffix	70	750	0	1	粗布长袍	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30006	收集1件锦衫·煌光	SearchItemBySuffix	70	750	0	1	锦衫	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30007	收集1件锁子甲·煌光	SearchItemBySuffix	240	750	0	1	锁子甲	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30008	收集1件白茸甲·煌光	SearchItemBySuffix	240	750	0	1	白茸甲	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30009	收集1件刺客装·煌光	SearchItemBySuffix	240	750	0	1	刺客装	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30010	收集1件灵运装·煌光	SearchItemBySuffix	240	750	0	1	灵运装	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30011	收集1件逸侠袍·煌光	SearchItemBySuffix	240	750	0	1	逸侠袍	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30012	收集1件绮丽衫·煌光	SearchItemBySuffix	240	750	0	1	绮丽衫	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30013	收集1件两裆铠·煌光	SearchItemBySuffix	540	750	0	1	两裆铠	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30014	收集1件武炼甲·煌光	SearchItemBySuffix	540	750	0	1	武炼甲	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30015	收集1件渔忍装·煌光	SearchItemBySuffix	540	750	0	1	渔忍装	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30016	收集1件紫劲装·煌光	SearchItemBySuffix	540	750	0	1	紫劲装	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30017	收集1件青霜袍·煌光	SearchItemBySuffix	540	750	0	1	青霜袍	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30018	收集1件心印衫·煌光	SearchItemBySuffix	540	750	0	1	心印衫	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30019	收集1个青铜束发·煌光	SearchItemBySuffix	70	750	0	1	青铜束发	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30020	收集1个轻纱玉带·煌光	SearchItemBySuffix	70	750	0	1	轻纱玉带	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30021	收集1个弱水笠·煌光	SearchItemBySuffix	70	750	0	1	弱水笠	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30022	收集1个黄布发带·煌光	SearchItemBySuffix	70	750	0	1	黄布发带	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
