TaskId	TaskName	TaskType	Value1	Value2	MapId	MapName	NpcId	NpcName	Num	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
任务编号	人物名	任务类型	价值量1	价值量2	地图编号	地图名称	NpcId	Npc名称	数量	等级1	等级2	等级3	等级4	等级5	等级6	等级7	等级8	等级9	等级10	等级11
20007	拐子	KillNpc	0	1250	52	百花谷	2209	拐子	24	10000	0	0	0	0	0	0	0	0	0	0
20008	蒙古大夫	KillNpc	0	1250	52	百花谷	2210	蒙古大夫	24	10000	0	0	0	0	0	0	0	0	0	0
20009	江湖刀客	KillNpc	0	1250	52	百花谷	2037	江湖刀客	24	10000	0	0	0	0	0	0	0	0	0	0
20010	江湖剑客	KillNpc	0	1250	52	百花谷	2038	江湖剑客	24	10000	0	0	0	0	0	0	0	0	0	0
20023	盐帮帮众	KillNpc	0	1250	55	青螺岛	2045	盐帮帮众	24	10000	0	0	0	0	0	0	0	0	0	0
20024	神秘刺客	KillNpc	0	1250	55	青螺岛	2046	神秘刺客	24	10000	0	0	0	0	0	0	0	0	0	0
20025	大内随从	KillNpc	0	1250	55	青螺岛	2217	大内随从	24	10000	0	0	0	0	0	0	0	0	0	0
20026	行脚商人	KillNpc	0	1250	55	青螺岛	2218	行脚商人	24	10000	0	0	0	0	0	0	0	0	0	0
20031	护陵刀兵	KillNpc	0	1250	47	天忍教禁地	2049	护陵刀兵	24	10000	0	0	0	0	0	0	0	0	0	0
20032	挖土工匠	KillNpc	0	1250	47	天忍教禁地	2221	挖土工匠	24	10000	0	0	0	0	0	0	0	0	0	0
20033	砌石工匠	KillNpc	0	1250	47	天忍教禁地	2222	砌石工匠	24	10000	0	0	0	0	0	0	0	0	0	0
20034	护陵弓手	KillNpc	0	1250	47	天忍教禁地	2050	护陵弓手	24	10000	0	0	0	0	0	0	0	0	0	0
20035	参客	KillNpc	0	1250	48	见性峰	2051	参客	24	10000	0	0	0	0	0	0	0	0	0	0
20036	无名刀客	KillNpc	0	1250	48	见性峰	2052	无名刀客	24	10000	0	0	0	0	0	0	0	0	0	0
20037	雪山派除名弟子	KillNpc	0	1250	48	见性峰	2053	雪山派除名弟子	24	10000	0	0	0	0	0	0	0	0	0	0
20038	老迈的雪猿	KillNpc	0	1250	48	见性峰	2223	老迈的雪猿	24	10000	0	0	0	0	0	0	0	0	0	0
20043	护陵枪兵	KillNpc	0	1250	57	金国皇陵一层	2070	护陵枪兵	24	0	10000	0	0	0	0	0	0	0	0	0
20044	冥府归客	KillNpc	0	1250	57	金国皇陵一层	2072	冥府归客	24	0	10000	0	0	0	0	0	0	0	0	0
20045	护陵弩手	KillNpc	0	1250	57	金国皇陵一层	2071	护陵弩手	24	0	10000	0	0	0	0	0	0	0	0	0
20046	强悍雪猿	KillNpc	0	1250	58	冰穴迷宫一层	2073	强悍雪猿	24	0	10000	0	0	0	0	0	0	0	0	0
20047	雪猿王	KillNpc	0	1250	58	冰穴迷宫一层	2074	雪猿王	24	0	10000	0	0	0	0	0	0	0	0	0
20060	野狼	KillNpc	0	1250	62	百花阵外阵	2058	野狼	24	0	10000	0	0	0	0	0	0	0	0	0
20061	霹雳锤	KillNpc	0	1250	62	百花阵外阵	2059	霹雳锤	24	0	10000	0	0	0	0	0	0	0	0	0
20062	云游侠客	KillNpc	0	1250	62	百花阵外阵	2226	云游侠客	24	0	10000	0	0	0	0	0	0	0	0	0
20063	百花护法	KillNpc	0	1250	62	百花阵外阵	2227	百花护法	24	0	10000	0	0	0	0	0	0	0	0	0
20072	捕快	KillNpc	0	1250	65	芦苇荡东南部	2067	捕快	24	0	10000	0	0	0	0	0	0	0	0	0
20073	乔装密探	KillNpc	0	1250	65	芦苇荡东南部	2066	乔装密探	24	0	10000	0	0	0	0	0	0	0	0	0
20074	过路旅客	KillNpc	0	1250	65	芦苇荡东南部	2234	过路旅客	24	0	10000	0	0	0	0	0	0	0	0	0
20075	行脚商贩	KillNpc	0	1250	65	芦苇荡东南部	2235	行脚商贩	24	0	10000	0	0	0	0	0	0	0	0	0
20080	建陵工匠	KillNpc	0	1250	67	金国皇陵二层	2093	建陵工匠	24	0	0	10000	0	0	0	0	0	0	0	0
20081	金国校尉	KillNpc	0	1250	67	金国皇陵二层	2252	金国校尉	24	0	0	10000	0	0	0	0	0	0	0	0
20082	贪官家丁	KillNpc	0	1250	67	金国皇陵二层	2092	贪官家丁	24	0	0	10000	0	0	0	0	0	0	0	0
20083	幽冥狼	KillNpc	0	1250	67	金国皇陵二层	2091	幽冥狼	24	0	0	10000	0	0	0	0	0	0	0	0
20084	穴居男野人	KillNpc	0	1250	68	冰穴迷宫二层	2095	穴居男野人	24	0	0	10000	0	0	0	0	0	0	0	0
20085	穴居小野人	KillNpc	0	1250	68	冰穴迷宫二层	2096	穴居小野人	24	0	0	10000	0	0	0	0	0	0	0	0
20086	穴居女野人	KillNpc	0	1250	68	冰穴迷宫二层	2094	穴居女野人	24	0	0	10000	0	0	0	0	0	0	0	0
20097	石城劣兵	KillNpc	0	1250	72	百花阵内阵	2079	石城劣兵	24	0	0	10000	0	0	0	0	0	0	0	0
20098	电光矛	KillNpc	0	1250	72	百花阵内阵	2080	电光矛	24	0	0	10000	0	0	0	0	0	0	0	0
20099	小毛贼	KillNpc	0	1250	72	百花阵内阵	2240	小毛贼	24	0	0	10000	0	0	0	0	0	0	0	0
20100	寻宝旅人	KillNpc	0	1250	72	百花阵内阵	2241	寻宝旅人	24	0	0	10000	0	0	0	0	0	0	0	0
20109	快剑客	KillNpc	0	1250	75	芦苇荡西北部	2088	快剑客	24	0	0	10000	0	0	0	0	0	0	0	0
20110	快刀客	KillNpc	0	1250	75	芦苇荡西北部	2087	快刀客	24	0	0	10000	0	0	0	0	0	0	0	0
20111	邪恶绑匪	KillNpc	0	1250	75	芦苇荡西北部	2249	邪恶绑匪	24	0	0	10000	0	0	0	0	0	0	0	0
20112	匪徒帮凶	KillNpc	0	1250	75	芦苇荡西北部	2248	匪徒帮凶	24	0	0	10000	0	0	0	0	0	0	0	0
20113	剿匪兵	KillNpc	0	1250	86	太行古径	2119	剿匪兵	24	0	0	0	10000	0	0	0	0	0	0	0
20114	武装的村民	KillNpc	0	1250	86	太行古径	2117	武装的村民	24	0	0	0	10000	0	0	0	0	0	0	0
20115	暴怒的矿工	KillNpc	0	1250	86	太行古径	2118	暴怒的矿工	24	0	0	0	10000	0	0	0	0	0	0	0
20116	马贼游骑	KillNpc	0	1250	87	大散关	2133	马贼游骑	24	0	0	0	10000	0	0	0	0	0	0	0
20117	铁鹞子	KillNpc	0	1250	87	大散关	2132	铁鹞子	24	0	0	0	10000	0	0	0	0	0	0	0
20118	西夏游兵	KillNpc	0	1250	87	大散关	2134	西夏游兵	24	0	0	0	10000	0	0	0	0	0	0	0
20119	漕帮舵手	KillNpc	0	1250	88	汉水古渡	2120	漕帮舵手	24	0	0	0	10000	0	0	0	0	0	0	0
20120	漕帮道领	KillNpc	0	1250	88	汉水古渡	2121	漕帮道领	24	0	0	0	10000	0	0	0	0	0	0	0
20121	襄阳官兵	KillNpc	0	1250	88	汉水古渡	2122	襄阳官兵	24	0	0	0	10000	0	0	0	0	0	0	0
20122	逃难文官	KillNpc	0	1250	89	寒山古刹	2126	逃难文官	24	0	0	0	10000	0	0	0	0	0	0	0
20123	逃难武官	KillNpc	0	1250	89	寒山古刹	2127	逃难武官	24	0	0	0	10000	0	0	0	0	0	0	0
20124	大宋禁军	KillNpc	0	1250	89	寒山古刹	2128	大宋禁军	24	0	0	0	10000	0	0	0	0	0	0	0
20125	响水死士	KillNpc	0	1250	90	浣花溪	2125	响水死士	24	0	0	0	10000	0	0	0	0	0	0	0
20126	吴家刀兵	KillNpc	0	1250	90	浣花溪	2124	吴家刀兵	24	0	0	0	10000	0	0	0	0	0	0	0
20127	吴家枪兵	KillNpc	0	1250	90	浣花溪	2123	吴家枪兵	24	0	0	0	10000	0	0	0	0	0	0	0
20128	乌蛮土兵	KillNpc	0	1250	91	洱海摩岩	2135	乌蛮土兵	24	0	0	0	10000	0	0	0	0	0	0	0
20129	乌蛮弓手	KillNpc	0	1250	91	洱海摩岩	2136	乌蛮弓手	24	0	0	0	10000	0	0	0	0	0	0	0
20130	乌蛮神巫	KillNpc	0	1250	91	洱海摩岩	2137	乌蛮神巫	24	0	0	0	10000	0	0	0	0	0	0	0
20131	漕帮帮众	KillNpc	0	1250	92	采石矶	2129	漕帮帮众	24	0	0	0	10000	0	0	0	0	0	0	0
20132	马帮武师	KillNpc	0	1250	92	采石矶	2131	马帮武师	24	0	0	0	10000	0	0	0	0	0	0	0
20133	临安守军	KillNpc	0	1250	92	采石矶	2130	临安守军	24	0	0	0	10000	0	0	0	0	0	0	0
20134	兽王猎手	KillNpc	0	1250	93	药王洞	2139	兽王猎手	24	0	0	0	0	10000	0	0	0	0	0	0
20135	兽王巡游	KillNpc	0	1250	93	药王洞	2140	兽王巡游	24	0	0	0	0	10000	0	0	0	0	0	0
20136	兽王祭司	KillNpc	0	1250	93	药王洞	2138	兽王祭司	24	0	0	0	0	10000	0	0	0	0	0	0
20137	横山鹰骑	KillNpc	0	1250	94	居延泽	2155	横山鹰骑	24	0	0	0	0	10000	0	0	0	0	0	0
20138	横山羌步兵	KillNpc	0	1250	94	居延泽	2153	横山羌步兵	24	0	0	0	0	10000	0	0	0	0	0	0
20139	横山虎骑	KillNpc	0	1250	94	居延泽	2154	横山虎骑	24	0	0	0	0	10000	0	0	0	0	0	0
20140	牛栏寨喽啰	KillNpc	0	1250	95	伏牛山	2141	牛栏寨喽啰	24	0	0	0	0	10000	0	0	0	0	0	0
20141	牛栏寨刀手	KillNpc	0	1250	95	伏牛山	2142	牛栏寨刀手	24	0	0	0	0	10000	0	0	0	0	0	0
20142	邪教男弟子	KillNpc	0	1250	95	伏牛山	2143	邪教男弟子	24	0	0	0	0	10000	0	0	0	0	0	0
20143	精骑兵	KillNpc	0	1250	96	虎丘剑池	2149	精骑兵	24	0	0	0	0	10000	0	0	0	0	0	0
20144	北营禁军	KillNpc	0	1250	96	虎丘剑池	2147	北营禁军	24	0	0	0	0	10000	0	0	0	0	0	0
20145	南营禁军	KillNpc	0	1250	96	虎丘剑池	2148	南营禁军	24	0	0	0	0	10000	0	0	0	0	0	0
20146	响水快刀手	KillNpc	0	1250	97	响水洞	2145	响水快刀手	24	0	0	0	0	10000	0	0	0	0	0	0
20147	响水神射手	KillNpc	0	1250	97	响水洞	2144	响水神射手	24	0	0	0	0	10000	0	0	0	0	0	0
20148	响水死士	KillNpc	0	1250	97	响水洞	2146	响水死士	24	0	0	0	0	10000	0	0	0	0	0	0
20149	乌布寨精兵	KillNpc	0	1250	98	点苍山	2156	乌布寨精兵	24	0	0	0	0	10000	0	0	0	0	0	0
20150	乌布寨巡守	KillNpc	0	1250	98	点苍山	2157	乌布寨巡守	24	0	0	0	0	10000	0	0	0	0	0	0
20151	黑水轻骑	KillNpc	0	1250	98	点苍山	2158	黑水轻骑	24	0	0	0	0	10000	0	0	0	0	0	0
20152	野马	KillNpc	0	1250	99	彭蠡古泽	2152	野马	24	0	0	0	0	10000	0	0	0	0	0	0
20153	野猴	KillNpc	0	1250	99	彭蠡古泽	2151	野猴	24	0	0	0	0	10000	0	0	0	0	0	0
20154	野鹿	KillNpc	0	1250	99	彭蠡古泽	2150	野鹿	24	0	0	0	0	10000	0	0	0	0	0	0
20155	猛安谋克军	KillNpc	0	1250	100	风陵渡	2159	猛安谋克军	24	0	0	0	0	0	10000	0	0	0	0	0
20157	马帮推手	KillNpc	0	1250	100	风陵渡	2161	马帮推手	24	0	0	0	0	0	10000	0	0	0	0	0
20158	漕帮舵手	KillNpc	0	1250	100	风陵渡	2160	漕帮舵手	24	0	0	0	0	0	10000	0	0	0	0	0
20159	神臂弓	KillNpc	0	1250	101	沙漠迷宫	2174	神臂弓	24	0	0	0	0	0	10000	0	0	0	0	0
