szName	nReferId	nType	varValue	nCondition
【秋云深重】	173	1	500	30
【辟水寒鲤】	174	1	500	30
【义胆罗锋】	175	1	500	30
【怖者之枪】	176	1	500	30
【猴儿酒】	177	1	500	30
【影者】	178	1	500	30
【打狗阵法】	179	1	500	30
【哑老头】	180	1	500	30
【鳄鱼之灾】	181	1	500	30
【神秘商人】	182	1	500	30
【叛旅之谜】	183	1	500	30
【叛乱证据】	184	1	500	30
【季候落难】	185	1	500	30
【刀客之赌】	186	1	500	30
【剑客之赌】	187	1	500	30
【古营寨】	188	1	500	30
【痴情公子】	189	1	500	30
【孤坟】	190	1	500	30
【蝰蛇祸】	191	1	500	30
【屠村】	192	1	500	30
【土山杀手】	193	1	500	30
【女巫之歌】	194	1	500	30
【大雪之冢】	195	1	500	30
【宋秋石的来历】	196	1	500	30
【游氏兄妹】	197	1	500	30
【神秘主人】	198	1	500	1
【冰穴悲嚎】	199	1	500	30
【昆仑旧事】	200	1	500	1
【重归人间】	201	1	500	1
【犯戒之僧】	202	1	500	30
【四味名药】	203	1	500	30
【名师空相】	204	1	500	30
【神秘窃贼】	205	1	500	30
【愤怒的机关】	206	1	500	30
【受伤弟子】	207	1	500	30
【终极考验】	208	1	500	30
【巧计平乱】	209	1	500	30
【彩蝶仙子】	210	1	500	30
【情痴志铭】	211	1	500	30
【神秘金人】	212	1	500	30
【虎洞迷踪】	213	1	500	30
【潇潇夜雨】	214	1	500	30
【潇潇夜雨】	215	1	500	30
【旧仇】	216	1	800	30
【皇陵之变】	217	1	800	30
【盗墓贼的财宝】	218	1	800	1
【神秘棋子】	219	1	800	1
【试手之战】	220	1	800	30
【内忧外患】	221	1	800	30
【刺客的下场】	222	1	800	30
【灭口】	223	1	800	30
【峨嵋往事】	224	1	800	30
【求亲】	225	1	800	30
【无念劫】	226	1	800	30
【豹雪之争】	227	1	800	30
【唐家仇怨】	228	1	800	30
【宫室之女】	229	1	800	30
【白骨之城】	230	1	800	30
【合纵连横】	231	1	800	30
【尔虞我诈】	232	1	800	30
【人各有别】	233	1	800	30
【倾心之交】	234	1	800	30
【唐门四老】	235	1	800	30
【怀疑】	236	1	800	30
【永不凋谢的花】	237	1	800	30
【花谷来客】	238	1	800	30
【护花使者】	239	1	800	30
【钻天燕子】	240	1	800	30
【十年之痛】	241	1	800	30
【北方来客】	242	1	800	30
【荣皎皎的身世】	243	1	800	30
【昆仑情种】	244	1	800	30
【救济村民】	245	1	1000	25
【悬赏通告】	246	1	1000	25
【平定边境】	247	1	1000	25
【善意的谎言】	248	1	1000	25
【赎回壮丁】	249	1	1000	25
【炼日大法】	251	1	1000	25
【清理门户】	252	1	1000	25
【秋天的蝴蝶】	253	1	1000	25
【震慑之力】	254	1	1000	25
【百官谱】	255	1	1000	25
【编管太学生】	256	1	1000	25
【略加惩戒】	257	1	1000	25
【危急情况】	258	1	1000	25
【赌约】	259	1	1000	25
【迅狼酒】	260	1	2000	20
【小默尔】	261	1	2000	20
【转手买卖】	262	1	2000	20
【痛惩】	263	1	2000	20
【金矿】	264	1	2000	20
【阿利斯】	265	1	2000	20
【家仇】	266	1	2000	20
【紫玉冰蛇】	267	1	2000	20
【昏官】	268	1	2000	20
【大买卖】	269	1	2000	20
【平乱】	270	1	2000	20
【狼孩】	271	1	2000	20
【重赏之下】	272	1	2000	20
【寻回圣物】	273	1	2000	20
【逃离】	274	1	2000	20
【旧恨】	275	1	2000	20
【疏通】	276	1	3000	20
【网开一面】	277	1	3000	20
【警钟】	278	1	3000	20
【医者之心】	279	1	3000	20
【铁母】	280	1	3000	20
【大案之子母环】	281	1	3000	20
【大案之深闺】	282	1	3000	20
【活祭】	283	1	3000	20
【信徒】	284	1	3000	20
【轮回】	285	1	3000	20
【刺客】	286	1	3000	20
【一个不能少】	287	1	3000	20
【皇陵】	288	1	3000	20
【旧爱所在】	289	1	4000	15
【义之所在】	290	1	4000	15
【情意绵绵】	291	1	4000	15
【皇陵秘事】	292	1	4000	15
【敌人之友】	293	1	4000	15
【以小见大】	294	1	4000	15
【敲山震虎】	295	1	4000	15
【代为驱逐】	296	1	4000	15
【山门之灾】	297	1	4000	15
【信徒之怒】	298	1	4000	15
【身畔危机】	299	1	4000	15
【龙颜盛怒】	300	1	4000	15
【流寇之风】	301	1	4000	15
【暗中制敌】	302	1	4000	15
【杀蛇取胆】	303	1	4000	15
【图雅之托】	304	1	4000	15
【故人之情】	305	1	4000	15
【赶走那些强盗】	327	1	1500	20
【刺杀行动】	328	1	1500	20
【影社英灵】	330	1	2000	30
【香螺花】	331	1	1000	35
【天王弟子的委托】	332	1	2000	30
【夺回法器】	335	1	4000	20
【蒙古烈酒】	336	1	4000	20
【如意的嫁妆】	337	1	500	30
【行商护卫】	338	1	500	30
【三万只恶猿】	339	1	5000	1
【物是人非】	340	1	800	25
【共抗官军】	344	1	500	30
【老者的书信】	350	1	5000	1
【蛇窝寻父】	351	1	1000	25
【襄阳老兵】	392	1	2000	25
【擂台赛】	393	1	2000	25
【赴约】	396	1	2000	25
【马说】	397	1	2000	25
【老默尔】	398	1	2000	20
【长歌往事】	416	1	6000	20
【长歌三杰】	417	1	6000	20
【秘访鞑靼】	418	1	6000	20
【草原英雄】	419	1	6000	20
【金国使节】	420	1	6000	20
【故辽奇才】	421	1	6000	20
【攻防并举】	422	1	6000	20
【北方界壕】	423	1	6000	20
【分进合击】	424	1	6000	20
【强悍骑兵】	425	1	6000	20
【夏主桓宗】	426	1	6000	20
【野心勃勃】	427	1	6000	20
【镇夷郡王】	428	1	6000	20
【厉兵秣马】	429	1	6000	20
【收服马贼】	430	1	6000	20
【妖道玄合】	431	1	6000	20
【人生无常】	432	1	6000	20
【编管道州】	433	1	6000	20
【编练使】	434	1	6000	20
【兵血】	435	1	6000	20
【营啸】	436	1	6000	20
【武节郎】	437	1	6000	20
【妙计捕盗】	438	1	6000	20
【以一当百】	439	1	6000	20
【勇士许俊】	440	1	6000	20
【亡命之徒】	441	1	6000	20
【终有一死】	442	1	6000	20
【前哨】	478	1	7000	15
【重阳故居】	479	1	7000	15
【黑风寨剿匪】	480	1	7000	15
【大禹台】	481	1	7000	15
【伏牛山庄】	482	1	7000	15
【三足鼎立】	483	1	7000	15
【神兽蚩尤】	484	1	7000	15
【内奸】	485	1	7000	15
【神秘失踪】	486	1	7000	15
【夜盗】	487	1	7000	15
【暗探萨满教】	498	1	8000	10
【黑米娃娃】	499	1	8000	10
【秋试文考】	500	1	8000	10
【情意无价】	501	1	8000	10
【善恶有报】	502	1	8000	10
【拯救商客】	503	1	8000	10
【姜氏父子】	504	1	8000	10
【此恨绵绵】	505	1	8000	10
【人心叵测】	506	1	8000	10
【神秘锦囊】	507	1	8000	10
【布衣情】	537	1	9000	5
【老徐的忏悔】	538	1	9000	5
【金卢锤】	539	1	9000	5
【醉翁之意】	540	1	9000	5
【望平安】	541	1	9000	5
【狐仙咒】	542	1	9000	5
【愚人恋】	543	1	9000	5
【拯救丹碧秀】	544	1	9000	5
【暖冬】	545	1	9000	5
【生死相阔】	546	1	9000	5
【漕帮之义】	588	1	9000	5
【腐蚀之种】	589	1	9000	5
【盐帮行】	590	1	9000	5
【聚贤大会】	591	1	9000	5
【草原雄鹰】	592	1	9000	5
【满江红】	593	1	9000	5
【麻衣预言】	594	1	9000	5
【马帮行】	595	1	9000	5
【跳河子】	596	1	9000	5
【铸剑】	597	1	9000	5
【三环阵】	652	1	10000	3
【巫之惑】	646	1	10000	3
【深入秘穴】	647	1	10000	3
【游龙使】	648	1	10000	3
【太祖秘史】	649	1	10000	3
【舍凝眉】	650	1	10000	3
【焚粮】	651	1	10000	3
【金源必断】	653	1	10000	3
【童祭】	654	1	10000	3
【火鲁一族】	655	1	10000	3
