NpcName	Desc	TypeName	Manually	TemplateId	NpcLevel	NpcScore	NpcCount	XPos	YPos	NpcPosFile
关小刀				7016				49888	103072	
路路通				11294				50112	103776	
火毒草	第一关毒物	duwu1	1	11237						\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\guai1a.txt
火毒草	第一关毒物	duwu2	1	11266						\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\guai1b.txt
	第一关点名	dianming1	1	11238			1			\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no1NPCdian.txt
	第二关BOSS	boss2	1	11239		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\boss1.txt		54592	104512	
被困女子	被困女子对话	beikungirl1	1	11240				54560	104000	
	被困女子跟随	beikungirl2	1	11241				54560	104000	
	第二关爆炸怪	boss2_bug	1	11256			2			\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\boss2_bug.txt
	第三关BOSS	boss3	1	11242		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\boss2.txt		56480	100032	
	狗	dog	1	11243			1			\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no3NPCdian.txt
	兔子	rabbit	1	11251			1			\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no3NPCdian.txt
	鹿	deer	1	11253			1			\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no3NPCdian.txt
	第四关过道小怪	baoku4	1	11293		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\baokushouwei.txt				\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no4guodao.txt
	第四关小怪	xiaoguai4	1	11258			6			\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no4xiaoguai.txt
	第四关宝箱	box41	1	11247		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\4box.txt				\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no4box1.txt
	第四关宝箱	box42	1	11264		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\4box.txt				\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no4box2.txt
	第五关BOSS	boss5	1	11248		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\boss3.txt		55936	103232	
	第五关点名自爆小怪	xiaoguai5	1	11311			1			\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no5_NPCdian.txt
	第五关剧情BOSS	boss5_chat	1	11249				55936	103232	
  	第五关剧情灯	boss5_light	1	11250						\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no5_deng.txt
	第六关少女	girl6	1	11252		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\shaonv.txt				\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no6girl.txt
	第六关虫子	bug6	1	11255				55232	109120	
	第七关开关灯	light7	1	11261				58400	108096	
	第七关小怪	xiaoguai7	1	11263		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\minglingshi.txt				\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no7guai.txt
	第七关BOSS	boss7	1	11262		\setting\task\treasuremapex\mapinfo\minlingtingyuan\score\boss4.txt		60128	106400	
	第七关BOSS灯	boss7_deng	1	11260						\setting\task\treasuremapex\mapinfo\minlingtingyuan\npc\no7bossdeng.txt
	第七关BOSS招的小怪	boss7_guai	1	11259				60320	106144	
