TrapName	TrapPosFile
enter1	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\enter1.txt
enter2	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\enter2.txt
enter3	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\enter3.txt
enter4	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\enter4.txt
enter5	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\enter5.txt
enter6	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\enter6.txt
enter7	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\enter7.txt
enter8	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\enter8.txt
leave1	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\leave1.txt
leave2	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\leave2.txt
leave3	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\leave3.txt
leave4	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\leave4.txt
leave5	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\leave5.txt
leave6	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\leave6.txt
leave7	\setting\task\treasuremapex\mapinfo\minlingtingyuan\trap\leave7.txt
