TaskId	TaskName	TaskType	MapId	PosX	PosY	MapName	NpcId	Num	LevelSeg	ActionKind	RandCallBoss	BossId
任务编号	人物名	任务类型	地图Id编号	地图X坐标	地图Y坐标	地图名称	NpcId	数量	等级段	行为类型boss	死亡召boss概率（总概率100万）	boss的Id
50001	仆散阿鲁	KillNpc	86	1851	3899	太行古径	2995	1	1	1		
50002	鲍彻山	KillNpc	86	1819	3354	太行古径	2996	1	1	0		
50003	蔡孤尘	KillNpc	86	1710	3289	太行古径	2997	1	1	0		
50004	曹安甫	KillNpc	86	1712	3918	太行古径	2998	1	1	0		
50005	梁乙昌	KillNpc	87	1817	3396	大散关	2999	1	1	1		
50006	谷剑秋	KillNpc	87	1583	3885	大散关	3000	1	1	0		
50007	顾守腾	KillNpc	87	1785	3530	大散关	3001	1	1	0		
50008	关天问	KillNpc	87	1870	3948	大散关	3002	1	1	0		
50009	贾善仁	KillNpc	88	1920	3875	汉水古渡	3003	1	1	1		
50010	江沉雁	KillNpc	88	1602	3604	汉水古渡	3004	1	1	0		
50011	姜自遥	KillNpc	88	1888	3282	汉水古渡	3005	1	1	0		
50012	解归南	KillNpc	88	1925	3551	汉水古渡	3006	1	1	0		
50013	柯雄飞	KillNpc	89	1555	3189	寒山古刹	3007	1	1	1		
50014	孔不庸	KillNpc	89	1610	3694	寒山古刹	3008	1	1	0		
50015	雷裘客	KillNpc	89	1897	3692	寒山古刹	3009	1	1	0		
50016	李行俭	KillNpc	89	1923	3188	寒山古刹	3010	1	1	0		
50017	秦孜游	KillNpc	90	1932	3928	浣花溪	3011	1	1	1		
50018	屈向荣	KillNpc	90	1925	3228	浣花溪	3012	1	1	0		
50019	任苍穹	KillNpc	90	1606	3331	浣花溪	3013	1	1	0		
50020	桑沧海	KillNpc	90	1721	3996	浣花溪	3014	1	1	0		
50021	苏古吟	KillNpc	91	1722	3252	洱海摩岩	3015	1	1	1		
50022	孙文彪	KillNpc	91	1710	3788	洱海摩岩	3016	1	1	0		
50023	谭千军	KillNpc	91	1899	3754	洱海摩岩	3017	1	1	0		
50024	唐博闻	KillNpc	91	1963	3299	洱海摩岩	3018	1	1	0		
50025	吴铮铮	KillNpc	92	2013	3794	采石矶	3019	1	1	1		
50026	武一刀	KillNpc	92	1823	3209	采石矶	3020	1	1	0		
50027	西门无铭	KillNpc	92	1603	3208	采石矶	3021	1	1	0		
50028	项令城	KillNpc	92	1703	3679	采石矶	3022	1	1	0		
50029	蒲察沙虎	KillNpc	93	1679	3916	药王洞	3023	1	2	1		
50030	贺少雄	KillNpc	93	1654	3352	药王洞	3024	1	2	0		
50031	胡一郎	KillNpc	93	1945	3325	药王洞	3025	1	2	0		
50032	黄力豹	KillNpc	93	1875	3475	药王洞	3026	1	2	0		
50033	娄继善	KillNpc	94	1605	3788	居延泽	3027	1	2	1		
50034	卢贯北	KillNpc	94	1713	3250	居延泽	3028	1	2	0		
50035	陆仲贤	KillNpc	94	1983	3724	居延泽	3029	1	2	0		
50036	骆尔金	KillNpc	94	1716	3746	居延泽	3030	1	2	0		
50037	上官隐	KillNpc	95	1738	3256	伏牛山	3031	1	2	1		
50038	邵七刹	KillNpc	95	1611	3838	伏牛山	3032	1	2	0		
50039	施虎豹	KillNpc	95	1836	3941	伏牛山	3033	1	2	0		
50040	石故桥	KillNpc	95	1874	3280	伏牛山	3034	1	2	0		
50041	唐仇之	KillNpc	96	1948	3456	虎丘剑池	3035	1	2	1		
50042	陶岛主	KillNpc	96	1770	3225	虎丘剑池	3036	1	2	0		
50043	田无道	KillNpc	96	1576	3898	虎丘剑池	3037	1	2	0		
50044	童不复	KillNpc	96	1835	3707	虎丘剑池	3038	1	2	0		
50045	万萧山	KillNpc	97	1636	3489	响水洞	3039	1	2	1		
50046	汪逝水	KillNpc	97	1795	3276	响水洞	3040	1	2	0		
50047	王霸天	KillNpc	97	1878	3323	响水洞	3041	1	2	0		
50048	巫九屠	KillNpc	97	1896	3668	响水洞	3042	1	2	0		
50049	薛蝶衣	KillNpc	98	1852	3881	点苍山	3043	1	2	1		
50050	钟铁腿	KillNpc	98	1817	3312	点苍山	3044	1	2	0		
50051	应啸风	KillNpc	98	1856	3537	点苍山	3045	1	2	0		
50052	游万里	KillNpc	98	1615	3248	点苍山	3046	1	2	0		
50053	庄铭忠	KillNpc	99	1486	2581	彭蠡古泽	3047	1	2	1		
50054	卓冷山	KillNpc	99	1627	2774	彭蠡古泽	3048	1	2	0		
50055	柳四爷	KillNpc	99	1218	2782	彭蠡古泽	3049	1	2	0		
50056	龙远山	KillNpc	99	1380	3187	彭蠡古泽	3050	1	2	0		
50057	陈守秋	KillNpc	100	1888	3196	风陵渡	3051	1	3	1		
50058	程踏波	KillNpc	100	1699	3130	风陵渡	3052	1	3	0		
50059	褚天悯	KillNpc	100	1695	3744	风陵渡	3053	1	3	0		
50060	完颜丑奴	KillNpc	100	1909	3289	风陵渡	3054	1	3	0		
50061	嵬名奇	KillNpc	101	1713	3824	沙漠迷宫	3055	1	3	1		
50062	卫边城	KillNpc	101	1702	3311	沙漠迷宫	3056	1	3	0		
50063	于贤龙	KillNpc	101	1837	3345	沙漠迷宫	3057	1	3	0		
50064	袁念夕	KillNpc	101	1592	3773	沙漠迷宫	3058	1	3	0		
50065	臧安儿	KillNpc	102	1616	3122	鸡冠洞	3059	1	3	1		
50066	曾阿牛	KillNpc	102	1634	2842	鸡冠洞	3060	1	3	0		
50067	詹覆云	KillNpc	102	1213	2955	鸡冠洞	3061	1	3	0		
50068	张镇飞	KillNpc	102	1400	2724	鸡冠洞	3062	1	3	0		
50069	叶华容	KillNpc	103	1794	3216	蜀冈山	3063	1	3	1		
50070	卓七郎	KillNpc	103	1975	3411	蜀冈山	3064	1	3	0		
50071	左弃名	KillNpc	103	1719	3908	蜀冈山	3065	1	3	0		
50072	白苍岩	KillNpc	103	1628	3512	蜀冈山	3066	1	3	0		
50073	袁天寿	KillNpc	104	1781	3750	剑阁蜀道	3067	1	3	1		
50074	岳元镜	KillNpc	104	1925	3525	剑阁蜀道	3068	1	3	0		
50075	上官仇	KillNpc	104	1532	3541	剑阁蜀道	3069	1	3	0		
50076	薛无极	KillNpc	104	1754	3376	剑阁蜀道	3070	1	3	0		
50077	连荆泰	KillNpc	105	1277	3377	段氏皇陵	3071	1	3	1		
50078	凌尽忠	KillNpc	105	1549	3089	段氏皇陵	3072	1	3	0		
50079	荆不平	KillNpc	105	1887	3371	段氏皇陵	3073	1	3	0		
50080	蒲十三	KillNpc	105	1541	3651	段氏皇陵	3074	1	3	0		
