FubenId	FubenName	TypeId	TypeName	StaticDesc	DynamicDesc	DetailDesc	Difficult	DifficultDesc
副本ID	副本名字	任务类型Id	任务类型名称	静态描述	动态描述	详细描述	难度等级	难度描述
1	伏牛山后山	1	军营	勇闯伏牛山击败白素素	勇闯伏牛山	请于今日之内击杀伏牛山大工匠，并在选择开启朱雀机关后，<color=yellow>击败伏牛山白素素。<color>	-1	没有要求
2	百蛮山	1	军营	勇闯百蛮山击败欧阳梅	勇闯百蛮山	请于今日之内击杀百蛮山蛊王，并在选择开启朱雀机关后，<color=yellow>击败百蛮山欧阳梅。<color>	-1	没有要求
3	海陵王墓	1	军营	勇闯海陵王墓击败幽冥神兽	勇闯海陵王墓	请于今日之内击杀海陵王墓完颜亮，并在选择开启朱雀机关后，<color=yellow>击败海陵王墓幽冥神兽。<color>	-1	没有要求
4	大漠古城	2	藏宝图	通关大漠古城	通过大漠古城	请于今日之通关<color=yellow>二星及以上星级大漠古城藏宝图<color>。	2	二星及以上藏宝图
5	万花谷	2	藏宝图	通关万花谷	通过万花谷	请于今日之通关<color=yellow>二星及以上星级万花谷藏宝图<color>。	2	二星及以上藏宝图
6	千琼宫	2	藏宝图	通关千琼宫	通过千琼宫	请于今日之通关<color=yellow>二星及以上星级千琼宫藏宝图。<color>	2	二星及以上藏宝图
7	逍遥谷	3	逍遥谷	挑战逍遥谷	挑战逍遥谷	请于今日之内队伍完成<color=yellow>一星逍遥谷通五关<color>或<color=yellow>三星以及以上难度通四关。<color>	3	挑战逍遥谷
8	龙门飞剑	2	藏宝图	通关龙门飞剑	通关龙门飞剑	请于今日之通关<color=yellow>二星及以上星级龙门飞剑藏宝图<color>。	2	二星及以上藏宝图
9	鄂伦河原	1	军营	勇闯鄂伦河原击败白鹿神使和苍狼神使	勇闯鄂伦河原	请于今日之内成功挑战铁木真，并在选择开启朱雀机关后，<color=yellow>击败鄂伦河原白鹿神使和苍狼神使。<color>	-1	没有要求
10	随机藏宝图	4	藏宝图	挑战一次随机藏宝图	挑战随机藏宝图	请于今日之内通关<color=yellow>四星以及以上随机藏宝图。<color>	4	四星及以上随机藏宝图
