MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	Ghi chú
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vân Trung Trấn
2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Long Môn Trấn
3	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Vĩnh Lạc Trấn
4	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đạo Hương Thôn
5	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Giang Tân Thôn
6	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thạch Cổ Trấn
7	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Long Tuyền Thôn
8	1	2	2	4	5	5	7	7	7	7	7	7	7	7	8	8	Ba Lăng Huyện
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	Thiếu Lâm
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	Thiên Nhẫn
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	Cổ Mộ
12	1	1	1	1	2	2	2	2	2	2	2	2	2	2	10	10	Côn Lôn
13	1	1	1	1	2	2	2	2	2	2	2	2	2	2	10	10	Nhất Phẩm Đường
14	1	1	1	2	3	3	3	3	3	3	3	3	3	3	10	10	Võ Đang
15	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Cái Bang
16	1	2	3	3	5	5	5	5	5	5	5	5	5	5	11	11	Nga My
17	1	2	3	3	3	6	6	6	6	6	6	6	6	6	12	12	Thúy Yên
18	1	2	3	3	3	6	6	6	6	6	6	6	6	6	12	12	Đường Môn
19	1	2	3	3	3	6	2	2	2	2	2	2	2	2	13	13	Đoàn Thị
20	1	2	2	4	2	4	3	3	3	3	3	3	3	3	13	13	Ngũ Độc
21	1	2	2	4	2	4	3	3	3	3	3	3	3	3	13	13	Trường Ca Môn
22	1	2	2	4	5	5	7	7	7	7	7	7	7	7	13	13	Thiên Vương
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Biện Kinh
24	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Phượng Tường
25	1	1	1	2	3	3	7	7	7	7	7	7	7	7	7	7	Tương Dương
26	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Dương Châu
27	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thành Đô
28	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đại Lý
29	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lâm An
55	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Thanh Loa Đảo
224	1	2	2	4	2	4	7	7	7	7	7	7	7	7	14	14	Minh Giáo
400	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Khoang Thuyền 1
401	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Khoang Thuyền 2
402	1	2	2	4	5	5	6	6	6	6	6	6	6	6	12	9	Khoang Thuyền 3
2115	1	1	1	1	1	1	1	1	1	1	1	1	1	8	15	13	Linh Tú Thôn (Kênh 1)
2116	1	1	1	1	2	2	2	2	2	2	2	2	2	9	15	14	Linh Tú Thôn (Kênh 2)
2117	1	2	2	4	2	4	3	7	7	7	7	7	7	10	14	15	Linh Tú Thôn (Kênh 3)
2118	1	1	2	2	4	4	4	4	4	4	4	4	4	11	14	10	Linh Tú Thôn (Kênh 4)
2119	1	2	3	3	5	5	5	5	5	5	5	5	5	12	14	11	Linh Tú Thôn (Kênh 5)
2120	1	2	3	3	3	6	6	6	6	6	6	6	6	13	15	12	Linh Tú Thôn (Kênh 6)
2121	1	1	1	2	3	3	7	3	3	3	3	3	3	14	15	16	Linh Tú Thôn (Kênh 7)
2154	1	1	1	1	1	1	1	1	1	1	1	1	1	8	15	13	Đào Khê Trấn (Kênh 1)
2254	1	1	1	1	2	2	2	2	2	2	2	2	2	9	15	14	Đào Khê Trấn (Kênh 2)
2255	1	2	2	4	2	4	3	7	7	7	7	7	7	10	14	15	Đào Khê Trấn (Kênh 3)
2256	1	1	2	2	4	4	4	4	4	4	4	4	4	11	14	10	Đào Khê Trấn (Kênh 4)
2257	1	2	3	3	5	5	5	5	5	5	5	5	5	12	14	11	Đào Khê Trấn (Kênh 5)
2258	1	2	3	3	3	6	6	6	6	6	6	6	6	13	15	12	Đào Khê Trấn (Kênh 6)
2259	1	1	1	2	3	3	7	3	3	3	3	3	3	14	15	16	Đào Khê Trấn (Kênh 7)
